date,slot,interval_start,interval_end,observed_available_at,price_available_at,load_kw,pv_actual_kw,load_kwh,pv_actual_kwh,net_load_kwh,price_actual_yuan_per_kwh,price_fixed_yuan_per_kwh,load_source,pv_source,price_source
2025-01-01,1,2025-01-01T00:00,2025-01-01T00:10,2025-01-01T00:10,2025-01-01T00:10,3529.7296,0.0,588.2882666666667,0.0,588.2882666666667,0.4527,0.4248,附件/附件2.xlsx::小区负载!B2,附件/附件2.xlsx::光伏发电实际功率!B2,附件/附件4.xlsx::Sheet1!B2
2025-01-01,2,2025-01-01T00:10,2025-01-01T00:20,2025-01-01T00:20,2025-01-01T00:20,3609.5287,0.0,601.5881166666667,0.0,601.5881166666667,0.4733,0.4245,附件/附件2.xlsx::小区负载!C2,附件/附件2.xlsx::光伏发电实际功率!C2,附件/附件4.xlsx::Sheet1!C2
2025-01-01,3,2025-01-01T00:20,2025-01-01T00:30,2025-01-01T00:30,2025-01-01T00:30,3726.56,0.0,621.0933333333334,0.0,621.0933333333334,0.4843,0.4269,附件/附件2.xlsx::小区负载!D2,附件/附件2.xlsx::光伏发电实际功率!D2,附件/附件4.xlsx::Sheet1!D2
2025-01-01,4,2025-01-01T00:30,2025-01-01T00:40,2025-01-01T00:40,2025-01-01T00:40,3510.6311,0.0,585.1051833333333,0.0,585.1051833333333,0.4541,0.4272,附件/附件2.xlsx::小区负载!E2,附件/附件2.xlsx::光伏发电实际功率!E2,附件/附件4.xlsx::Sheet1!E2
2025-01-01,5,2025-01-01T00:40,2025-01-01T00:50,2025-01-01T00:50,2025-01-01T00:50,3502.5625,0.0,583.7604166666666,0.0,583.7604166666666,0.4266,0.4271,附件/附件2.xlsx::小区负载!F2,附件/附件2.xlsx::光伏发电实际功率!F2,附件/附件4.xlsx::Sheet1!F2
2025-01-01,6,2025-01-01T00:50,2025-01-01T01:00,2025-01-01T01:00,2025-01-01T01:00,3787.01,0.0,631.1683333333334,0.0,631.1683333333334,0.4311,0.4285,附件/附件2.xlsx::小区负载!G2,附件/附件2.xlsx::光伏发电实际功率!G2,附件/附件4.xlsx::Sheet1!G2
2025-01-01,7,2025-01-01T01:00,2025-01-01T01:10,2025-01-01T01:10,2025-01-01T01:10,3900.3205,0.0,650.0534166666666,0.0,650.0534166666666,0.4544,0.4311,附件/附件2.xlsx::小区负载!H2,附件/附件2.xlsx::光伏发电实际功率!H2,附件/附件4.xlsx::Sheet1!H2
2025-01-01,8,2025-01-01T01:10,2025-01-01T01:20,2025-01-01T01:20,2025-01-01T01:20,3916.8376,0.0,652.8062666666666,0.0,652.8062666666666,0.4483,0.4302,附件/附件2.xlsx::小区负载!I2,附件/附件2.xlsx::光伏发电实际功率!I2,附件/附件4.xlsx::Sheet1!I2
2025-01-01,9,2025-01-01T01:20,2025-01-01T01:30,2025-01-01T01:30,2025-01-01T01:30,3817.28,0.0,636.2133333333334,0.0,636.2133333333334,0.4251,0.4279,附件/附件2.xlsx::小区负载!J2,附件/附件2.xlsx::光伏发电实际功率!J2,附件/附件4.xlsx::Sheet1!J2
2025-01-01,10,2025-01-01T01:30,2025-01-01T01:40,2025-01-01T01:40,2025-01-01T01:40,3533.0136,0.0,588.8356,0.0,588.8356,0.444,0.4312,附件/附件2.xlsx::小区负载!K2,附件/附件2.xlsx::光伏发电实际功率!K2,附件/附件4.xlsx::Sheet1!K2
