slot,start_minute,end_minute,interval_label,price_yuan_per_kwh,load_kw,pv_forecast_kw,load_kwh,pv_forecast_kwh,price_source,load_source,pv_source
1,0,10,00:00-00:10,0.4248,3439.8466,0.0,573.3077666666667,0.0,附件/附件1.xlsx::Sheet1!B2,附件/附件1.xlsx::Sheet1!C2,附件/附件1.xlsx::Sheet1!D2
2,10,20,00:10-00:20,0.4245,3437.9792,0.0,572.9965333333333,0.0,附件/附件1.xlsx::Sheet1!B3,附件/附件1.xlsx::Sheet1!C3,附件/附件1.xlsx::Sheet1!D3
3,20,30,00:20-00:30,0.4269,3444.3031,0.0,574.0505166666667,0.0,附件/附件1.xlsx::Sheet1!B4,附件/附件1.xlsx::Sheet1!C4,附件/附件1.xlsx::Sheet1!D4
4,30,40,00:30-00:40,0.4272,3454.4437,0.0,575.7406166666666,0.0,附件/附件1.xlsx::Sheet1!B5,附件/附件1.xlsx::Sheet1!C5,附件/附件1.xlsx::Sheet1!D5
5,40,50,00:40-00:50,0.4271,3458.8273,0.0,576.4712166666667,0.0,附件/附件1.xlsx::Sheet1!B6,附件/附件1.xlsx::Sheet1!C6,附件/附件1.xlsx::Sheet1!D6
6,50,60,00:50-01:00,0.4285,3459.8401,0.0,576.6400166666666,0.0,附件/附件1.xlsx::Sheet1!B7,附件/附件1.xlsx::Sheet1!C7,附件/附件1.xlsx::Sheet1!D7
7,60,70,01:00-01:10,0.4311,3467.1582,0.0,577.8597,0.0,附件/附件1.xlsx::Sheet1!B8,附件/附件1.xlsx::Sheet1!C8,附件/附件1.xlsx::Sheet1!D8
8,70,80,01:10-01:20,0.4302,3467.9632,0.0,577.9938666666667,0.0,附件/附件1.xlsx::Sheet1!B9,附件/附件1.xlsx::Sheet1!C9,附件/附件1.xlsx::Sheet1!D9
9,80,90,01:20-01:30,0.4279,3466.9683,0.0,577.82805,0.0,附件/附件1.xlsx::Sheet1!B10,附件/附件1.xlsx::Sheet1!C10,附件/附件1.xlsx::Sheet1!D10
10,90,100,01:30-01:40,0.4312,3482.4927,0.0,580.41545,0.0,附件/附件1.xlsx::Sheet1!B11,附件/附件1.xlsx::Sheet1!C11,附件/附件1.xlsx::Sheet1!D11
