date,load_kwh,pv_actual_kwh,net_load_kwh,pv_surplus_intervals,price_min,price_max,price_mean
2025-01-01,127286.15238333332,35250.98236666667,92035.17001666666,0,0.4038,1.5993,0.9265215277777776
2025-01-02,127657.07848333333,34771.83921666667,92885.23926666666,0,0.3623,1.6098,0.9266027777777778
2025-01-03,81883.55671666666,36378.61535,45504.941366666666,30,0.2766,1.4264,0.7386236111111111
2025-01-04,81891.73006666667,37126.127700000005,44765.602366666666,28,0.3175,1.4459,0.7303166666666666
2025-01-05,127674.11883333333,36638.408533333335,91035.71029999999,0,0.391,1.5747,0.9252319444444443
2025-01-06,126826.69011666666,36194.20901666667,90632.48109999999,0,0.371,1.6135,0.9289923611111112
2025-01-07,126927.46214999999,34360.561200000004,92566.90095,0,0.3841,1.5672,0.9234222222222223
2025-01-08,126695.94395,37169.94263333333,89526.00131666666,0,0.3663,1.5968,0.917373611111111
2025-01-09,127066.61820000001,35975.06208333333,91091.55611666666,0,0.307,1.5726,0.9205923611111112
2025-01-10,81486.63841666667,35995.9717,45490.66671666667,27,0.2836,1.4151,0.7293041666666666
2025-01-11,81610.19496666666,36744.30835,44865.88661666666,28,0.2503,1.4519,0.7342125
2025-01-12,126519.32696666667,35653.43856666667,90865.8884,0,0.3872,1.6226,0.9254215277777776
2025-01-13,126980.35978333333,38706.40281666667,88273.95696666666,0,0.3812,1.5303,0.9149201388888889
2025-01-14,127109.49061666666,37829.177683333335,89280.31293333333,0,0.3771,1.5809,0.916901388888889
2025-01-15,126963.89896666666,36893.556033333334,90070.34293333335,0,0.4052,1.5854,0.9231027777777777
2025-01-16,126807.76418333333,37733.612733333335,89074.15145,0,0.3275,1.6041,0.9150513888888889
2025-01-17,80876.0762,38186.962733333334,42689.11346666667,31,0.2934,1.4338,0.7245361111111112
2025-01-18,81208.0575,37965.54848333333,43242.50901666667,32,0.2881,1.3945,0.7223701388888889
2025-01-19,126210.84621666667,37527.706750000005,88683.13946666667,0,0.3757,1.5934,0.9176687499999999
2025-01-20,126565.66615,38498.5896,88067.07655,0,0.383,1.5695,0.9134951388888888
2025-01-21,125750.14588333333,42274.2412,83475.90468333334,10,0.3668,1.5603,0.8955743055555556
2025-01-22,126679.58855,37780.82418333334,88898.76436666667,0,0.3719,1.5811,0.9191166666666667
2025-01-23,126355.43115,36789.50555,89565.9256,0,0.34,1.6401,0.9220041666666666
2025-01-24,80339.5357,40510.12255,39829.41315,32,0.2582,1.4135,0.7098805555555556
