issue_time,lead_hours,target_time,pv_forecast_kw,actual_target_available,source
2025-01-01T00:00,1,2025-01-01T01:00,0.0,1,附件/附件3.xlsx::Sheet1!C2
2025-01-01T00:00,2,2025-01-01T02:00,0.0,1,附件/附件3.xlsx::Sheet1!D2
2025-01-01T00:00,3,2025-01-01T03:00,0.0,1,附件/附件3.xlsx::Sheet1!E2
2025-01-01T00:00,4,2025-01-01T04:00,0.0,1,附件/附件3.xlsx::Sheet1!F2
2025-01-01T00:00,5,2025-01-01T05:00,0.0,1,附件/附件3.xlsx::Sheet1!G2
2025-01-01T00:00,6,2025-01-01T06:00,0.0,1,附件/附件3.xlsx::Sheet1!H2
2025-01-01T00:00,7,2025-01-01T07:00,3.1173,1,附件/附件3.xlsx::Sheet1!I2
2025-01-01T00:00,8,2025-01-01T08:00,1603.3305,1,附件/附件3.xlsx::Sheet1!J2
2025-01-01T00:00,9,2025-01-01T09:00,3409.0929,1,附件/附件3.xlsx::Sheet1!K2
2025-01-01T00:00,10,2025-01-01T10:00,4871.2875,1,附件/附件3.xlsx::Sheet1!L2
2025-01-01T00:00,11,2025-01-01T11:00,5785.111,1,附件/附件3.xlsx::Sheet1!M2
2025-01-01T00:00,12,2025-01-01T12:00,5737.1717,1,附件/附件3.xlsx::Sheet1!N2
2025-01-01T00:00,13,2025-01-01T13:00,6047.3964,1,附件/附件3.xlsx::Sheet1!O2
2025-01-01T00:00,14,2025-01-01T14:00,4687.1165,1,附件/附件3.xlsx::Sheet1!P2
2025-01-01T00:00,15,2025-01-01T15:00,3572.6529,1,附件/附件3.xlsx::Sheet1!Q2
2025-01-01T00:00,16,2025-01-01T16:00,1629.9964,1,附件/附件3.xlsx::Sheet1!R2
2025-01-01T00:00,17,2025-01-01T17:00,3.1956,1,附件/附件3.xlsx::Sheet1!S2
2025-01-01T00:00,18,2025-01-01T18:00,0.0,1,附件/附件3.xlsx::Sheet1!T2
2025-01-01T00:00,19,2025-01-01T19:00,0.0,1,附件/附件3.xlsx::Sheet1!U2
2025-01-01T00:00,20,2025-01-01T20:00,0.0,1,附件/附件3.xlsx::Sheet1!V2
2025-01-01T00:00,21,2025-01-01T21:00,0.0,1,附件/附件3.xlsx::Sheet1!W2
2025-01-01T00:00,22,2025-01-01T22:00,0.0,1,附件/附件3.xlsx::Sheet1!X2
2025-01-01T00:00,23,2025-01-01T23:00,0.0,1,附件/附件3.xlsx::Sheet1!Y2
2025-01-01T00:00,24,2025-01-02T00:00,0.0,1,附件/附件3.xlsx::Sheet1!Z2
2025-01-01T06:00,1,2025-01-01T07:00,3.0919,1,附件/附件3.xlsx::Sheet1!C3
2025-01-01T06:00,2,2025-01-01T08:00,1588.7839,1,附件/附件3.xlsx::Sheet1!D3
2025-01-01T06:00,3,2025-01-01T09:00,3297.9893,1,附件/附件3.xlsx::Sheet1!E3
2025-01-01T06:00,4,2025-01-01T10:00,4692.2274,1,附件/附件3.xlsx::Sheet1!F3
2025-01-01T06:00,5,2025-01-01T11:00,5220.3894,1,附件/附件3.xlsx::Sheet1!G3
2025-01-01T06:00,6,2025-01-01T12:00,5078.6992,1,附件/附件3.xlsx::Sheet1!H3
2025-01-01T06:00,7,2025-01-01T13:00,5314.2003,1,附件/附件3.xlsx::Sheet1!I3
2025-01-01T06:00,8,2025-01-01T14:00,4833.7142,1,附件/附件3.xlsx::Sheet1!J3
2025-01-01T06:00,9,2025-01-01T15:00,3588.0375,1,附件/附件3.xlsx::Sheet1!K3
2025-01-01T06:00,10,2025-01-01T16:00,1660.0369,1,附件/附件3.xlsx::Sheet1!L3
2025-01-01T06:00,11,2025-01-01T17:00,3.0359,1,附件/附件3.xlsx::Sheet1!M3
2025-01-01T06:00,12,2025-01-01T18:00,0.0,1,附件/附件3.xlsx::Sheet1!N3
2025-01-01T06:00,13,2025-01-01T19:00,0.0,1,附件/附件3.xlsx::Sheet1!O3
2025-01-01T06:00,14,2025-01-01T20:00,0.0,1,附件/附件3.xlsx::Sheet1!P3
2025-01-01T06:00,15,2025-01-01T21:00,0.0,1,附件/附件3.xlsx::Sheet1!Q3
2025-01-01T06:00,16,2025-01-01T22:00,0.0,1,附件/附件3.xlsx::Sheet1!R3
2025-01-01T06:00,17,2025-01-01T23:00,0.0,1,附件/附件3.xlsx::Sheet1!S3
2025-01-01T06:00,18,2025-01-02T00:00,0.0,1,附件/附件3.xlsx::Sheet1!T3
2025-01-01T06:00,19,2025-01-02T01:00,0.0,1,附件/附件3.xlsx::Sheet1!U3
2025-01-01T06:00,20,2025-01-02T02:00,0.0,1,附件/附件3.xlsx::Sheet1!V3
2025-01-01T06:00,21,2025-01-02T03:00,0.0,1,附件/附件3.xlsx::Sheet1!W3
2025-01-01T06:00,22,2025-01-02T04:00,0.0,1,附件/附件3.xlsx::Sheet1!X3
2025-01-01T06:00,23,2025-01-02T05:00,0.0,1,附件/附件3.xlsx::Sheet1!Y3
2025-01-01T06:00,24,2025-01-02T06:00,0.0,1,附件/附件3.xlsx::Sheet1!Z3
2025-01-01T12:00,1,2025-01-01T13:00,5330.4298,1,附件/附件3.xlsx::Sheet1!C4
2025-01-01T12:00,2,2025-01-01T14:00,4549.2579,1,附件/附件3.xlsx::Sheet1!D4
