slot,interval_label,price_yuan_per_kwh,load_kwh,pv_forecast_kwh,purchase_kwh,charge_kwh,discharge_kwh,curtailment_kwh,soc_start_kwh,soc_end_kwh,cost_yuan
1,00:00-00:10,0.4248,573.3077666666667,0.0,1406.6411,833.3333333333334,0.0,0.0,6000.0,6750.0,597.54113928
2,00:10-00:20,0.4245,572.9965333333333,0.0,1406.3298666666667,833.3333333333334,0.0,0.0,6750.0,7500.0,596.9870284
3,00:20-00:30,0.4269,574.0505166666667,0.0,1407.3838500000002,833.3333333333334,0.0,0.0,7500.0,8250.0,600.8121655650001
4,00:30-00:40,0.4272,575.7406166666666,0.0,1409.07395,833.3333333333334,0.0,0.0,8250.0,9000.0,601.9563914400001
5,00:40-00:50,0.4271,576.4712166666667,0.0,1409.80455,833.3333333333334,0.0,0.0,9000.0,9750.0,602.127523305
6,00:50-01:00,0.4285,576.6400166666666,0.0,576.6400166666666,0.0,0.0,0.0,9750.0,9750.0,247.09024714166665
7,01:00-01:10,0.4311,577.8597,0.0,577.8597,0.0,0.0,0.0,9750.0,9750.0,249.11531666999997
8,01:10-01:20,0.4302,577.9938666666667,0.0,577.9938666666667,0.0,0.0,0.0,9750.0,9750.0,248.65296144
9,01:20-01:30,0.4279,577.82805,0.0,911.1613833333333,333.3333333333333,0.0,0.0,9750.0,10050.0,389.8859559283333
10,01:30-01:40,0.4312,580.41545,0.0,580.41545,0.0,0.0,0.0,10050.0,10050.0,250.27514204
11,01:40-01:50,0.4333,582.5140166666666,0.0,582.5140166666666,0.0,0.0,0.0,10050.0,10050.0,252.40332342166667
12,01:50-02:00,0.4311,583.07405,0.0,583.07405,0.0,0.0,0.0,10050.0,10050.0,251.36322295500003
13,02:00-02:10,0.4293,584.2049166666667,0.0,584.2049166666667,0.0,0.0,0.0,10050.0,10050.0,250.799170725
14,02:10-02:20,0.4324,585.4397833333334,0.0,585.4397833333334,0.0,0.0,0.0,10050.0,10050.0,253.14416231333334
15,02:20-02:30,0.4367,586.14475,0.0,586.14475,0.0,0.0,0.0,10050.0,10050.0,255.969412325
16,02:30-02:40,0.4348,586.3207666666666,0.0,586.3207666666666,0.0,0.0,0.0,10050.0,10050.0,254.93226934666666
17,02:40-02:50,0.4335,586.4253,0.0,586.4253,0.0,0.0,0.0,10050.0,10050.0,254.21536755
18,02:50-03:00,0.4357,586.8496,0.0,586.8496,0.0,0.0,0.0,10050.0,10050.0,255.69037072
19,03:00-03:10,0.4374,587.8210166666667,0.0,587.8210166666667,0.0,0.0,0.0,10050.0,10050.0,257.11291269
20,03:10-03:20,0.4371,589.5475666666667,0.0,589.5475666666667,0.0,0.0,0.0,10050.0,10050.0,257.69124139
21,03:20-03:30,0.4356,590.8134666666666,0.0,590.8134666666666,0.0,0.0,0.0,10050.0,10050.0,257.35834608
22,03:30-03:40,0.4353,590.2131166666667,0.0,590.2131166666667,0.0,0.0,0.0,10050.0,10050.0,256.919769685
23,03:40-03:50,0.436,591.0662666666666,0.0,591.0662666666666,0.0,0.0,0.0,10050.0,10050.0,257.70489226666666
24,03:50-04:00,0.4378,593.3678333333334,0.0,593.3678333333334,0.0,0.0,0.0,10050.0,10050.0,259.77643743333334
25,04:00-04:10,0.4401,593.6596833333333,0.0,593.6596833333333,0.0,0.0,0.0,10050.0,10050.0,261.269626635
26,04:10-04:20,0.4389,592.7863833333333,0.0,592.7863833333333,0.0,0.0,0.0,10050.0,10050.0,260.173943645
27,04:20-04:30,0.4364,593.3378666666666,0.0,593.3378666666666,0.0,0.0,0.0,10050.0,10050.0,258.93264501333334
