date,days,purchase_kwh,emergency_kwh,actual_grid_kwh,planned_cost_yuan,emergency_cost_yuan,total_cost_yuan,charge_kwh,discharge_kwh,curtailment_kwh,emergency_intervals,emergency_days,emergency_while_charging_kwh,emergency_while_charging_intervals,waste_while_discharging_kwh,soc_start_kwh,soc_end_kwh,no_storage_total_cost_yuan
2025-02-01,1,43753.087263544076,240.07946752110314,43993.166731065176,22650.581748837394,1056.2640197348962,23706.84576857229,20760.517897467715,16816.019496948844,5670.492397212975,15,1,77.01830836764259,5,1396.0570211362394,5999.999999999998,6000.0000000000055,36639.42087314993
2025-02-02,1,89925.90453848394,86.0870716410053,90011.99161012494,56595.69769502283,390.4775391816186,56986.17523420444,24699.92326208103,20006.93784228564,6962.728240329549,8,1,5.786053428082596,1,1958.916063882463,6000.0000000000055,6000.000000000002,68399.16731404403
2025-02-03,1,89014.87675531565,311.96566419171756,89326.84241950737,55929.92200602655,1092.1081258336571,57022.03013186021,24571.976551624375,19903.30100681575,4441.250374698735,23,1,147.84771380538814,6,1662.1638615814106,6000.000000000002,6000.0,68397.3422848301
2025-02-04,1,89012.58357102163,983.8830061605877,89996.46657718222,55878.08652638718,3859.5157786036857,59737.60230499087,24474.88825228327,19824.659484349446,4151.373859248395,30,1,341.2577468529694,10,820.1759296909364,6000.0,6000.000000000002,71127.48428984694
2025-02-05,1,88649.10519425121,588.4833107438975,89237.58850499512,55677.66735671704,2134.1266243618174,57811.79398107885,24400.82319302549,19764.666786350648,3853.0051149869296,25,1,296.4852717115043,11,844.4337254807951,6000.000000000002,6000.000000000001,69197.975570882
2025-02-06,1,89229.5905633218,246.62536142161525,89476.21592474342,56180.86920855904,1010.1330546452311,57191.00226320427,24502.040187784616,19846.65255210554,4549.771072397679,26,1,90.76748599815687,11,1380.7925533190446,6000.000000000001,6000.000000000002,68600.95709259846
2025-02-07,1,42602.46570499744,271.4436445801145,42873.90934957755,21921.202659140516,1453.0493394717153,23374.25199861223,20641.890615507284,16719.9313985609,7146.270465964505,21,1,24.615184957607312,5,972.0765868131143,6000.000000000002,5999.999999999999,36490.60057373471
2025-02-08,1,40763.061047486044,368.35882433778994,41131.41987182383,21054.203319085937,1901.6580636939034,22955.86138277984,20150.90964792313,16322.236814817736,5725.584322051772,20,1,227.5285470588243,11,1405.0910736760457,5999.999999999999,5999.999999999998,35394.50031623171
2025-02-09,1,86602.4202181871,1127.290241402065,87729.71045958916,54234.72205997538,3664.2538864419607,57898.97594641733,24388.74169469528,19754.880772703174,3540.4335709303823,34,1,648.1484566550102,12,907.0810289549372,5999.999999999998,6000.000000000002,69151.6465306544
2025-02-10,1,87098.61133826771,130.61752351343262,87229.22886178114,54558.05376112063,612.4494275652972,55170.50318868593,24503.881931796,19848.144364754764,8246.853711406573,12,1,28.396730846164246,3,3239.7500296730764,6000.000000000002,6000.000000000001,66578.3938283419
