date,days,purchase_kwh,emergency_kwh,actual_grid_kwh,planned_cost_yuan,emergency_cost_yuan,total_cost_yuan,charge_kwh,discharge_kwh,curtailment_kwh,emergency_intervals,emergency_days,emergency_while_charging_kwh,emergency_while_charging_intervals,waste_while_discharging_kwh,soc_start_kwh,soc_end_kwh
2025-02-01,1,48166.52758698889,192.4976830381823,48359.02527002707,35824.015873673765,815.4049994761701,36639.42087314993,0.0,0.0,13980.849336693736,11,1,0.0,0,0.0,6000.0,6000.0
2025-02-02,1,85232.91911868854,86.08707164100544,85319.00619032954,68008.6897748624,390.477539181619,68399.16731404403,0.0,0.0,6962.72824032955,8,1,0.0,0,0.0,6000.0,6000.0
2025-02-03,1,84360.27917026488,301.2576643862923,84661.53683465118,67328.74197713466,1068.6003076954398,68397.3422848301,0.0,0.0,4444.620334651171,23,1,0.0,0,0.0,6000.0,6000.0
2025-02-04,1,84376.22238305604,983.883006160588,85360.10538921662,67267.96851124325,3859.515778603687,71127.48428984694,0.0,0.0,4165.241439216623,30,1,0.0,0,0.0,6000.0,6000.0
2025-02-05,1,84032.78260601676,583.8209590613448,84616.6035650781,67074.45812777383,2123.5174431081687,69197.975570882,0.0,0.0,3868.176581744774,25,1,0.0,0,0.0,6000.0,6000.0
2025-02-06,1,84574.20292764273,246.62536142161628,84820.82828906435,67590.82403795322,1010.1330546452343,68600.95709259846,0.0,0.0,4549.771072397679,26,1,0.0,0,0.0,6000.0,6000.0
2025-02-07,1,47211.60031170361,257.507106812927,47469.107418516534,35104.827064845216,1385.7735088894935,36490.60057373471,0.0,0.0,15663.427751849867,18,1,0.0,0,0.0,6000.0,6000.0
2025-02-08,1,46431.87320700656,161.70149880811417,46593.57470581467,34501.78024592207,892.7200703096382,35394.50031623171,0.0,0.0,15016.411989148006,11,1,0.0,0,0.0,6000.0,6000.0
2025-02-09,1,82080.75432951422,1060.8411966536964,83141.59552616792,65637.53787778379,3514.1086528706073,69151.6465306544,0.0,0.0,3586.1795595012472,32,1,0.0,0,0.0,6000.0,6000.0
2025-02-10,1,82571.52434746864,130.61752351343253,82702.14187098207,65965.94440077661,612.4494275652971,66578.3938283419,0.0,0.0,8375.504287648748,12,1,0.0,0,0.0,6000.0,6000.0
