date,days,purchase_kwh,emergency_kwh,actual_grid_kwh,planned_cost_yuan,emergency_cost_yuan,total_cost_yuan,charge_kwh,discharge_kwh,curtailment_kwh,emergency_intervals,emergency_days,emergency_while_charging_kwh,emergency_while_charging_intervals,waste_while_discharging_kwh,soc_start_kwh,soc_end_kwh,load_mae_kw,pv_mae_kw,net_mae_kw,load_bias_kw,pv_bias_kw,net_bias_kw,v1_total_cost_yuan,v1_emergency_cost_yuan,savings_vs_v1_yuan
2025-02-01,1,43753.087263544076,240.07946752110314,43993.166731065176,22650.581748837394,1056.2640197348962,23706.84576857229,20760.517897467715,16816.019496948844,5670.492397212975,15,1,77.01830836764259,5,1396.0570211362394,5999.999999999998,6000.0000000000055,214.04208904488513,63.87095406746029,246.2738276972533,-201.90939538398675,24.357810019841242,-226.267205403828,23706.84576857229,1056.2640197348962,0.0
2025-02-02,1,89925.90453848394,86.0870716410053,90011.99161012494,56595.69769502283,390.4775391816186,56986.17523420444,24699.92326208103,20006.93784228564,6962.728240329549,8,1,5.786053428082596,1,1958.916063882463,6000.0000000000055,6000.000000000002,209.01530505028052,90.89934126984127,293.7006379987731,-201.31111417154648,85.2156011904762,-286.52671536202274,56986.17523420444,390.4775391816186,0.0
2025-02-03,1,89014.87675531565,311.96566419171756,89326.84241950737,55929.92200602655,1092.1081258336571,57022.03013186021,24571.976551624375,19903.30100681575,4441.250374698735,23,1,147.84771380538814,6,1662.1638615814106,6000.000000000002,6000.0,164.43032070146268,76.2195826388889,198.05066828710213,-154.7160920052526,17.33743759920638,-172.05352960445896,57022.03013186021,1092.1081258336571,0.0
2025-02-04,1,89012.58357102163,983.8830061605877,89996.46657718222,55878.08652638718,3859.5157786036857,59737.60230499087,24474.88825228327,19824.659484349446,4151.373859248395,30,1,341.2577468529694,10,820.1759296909364,6000.0,6000.000000000002,219.7255270967669,100.4061418650794,213.96903605870756,-203.71362324373794,-71.7348376984127,-131.97878554532525,59737.60230499087,3859.5157786036857,0.0
2025-02-05,1,88649.10519425121,588.4833107438975,89237.58850499512,55677.66735671704,2134.1266243618174,57811.79398107885,24400.82319302549,19764.666786350648,3853.0051149869296,25,1,296.4852717115043,11,844.4337254807951,6000.000000000002,6000.000000000001,186.35491125668932,85.95806617063495,185.06201773878445,-177.10815979980896,-41.08641795634924,-136.0217418434597,57811.79398107885,2134.1266243618174,0.0
2025-02-06,1,89229.5905633218,246.62536142161525,89476.21592474342,56180.86920855904,1010.1330546452311,57191.00226320427,24502.040187784616,19846.65255210554,4549.771072397679,26,1,90.76748599815687,11,1380.7925533190446,6000.000000000001,6000.000000000002,184.0768742520944,63.86398303571426,199.84985140913733,-172.96318805654224,6.3345499007937,-179.29773795733595,57191.00226320427,1010.1330546452311,0.0
2025-02-07,1,42602.46570499744,271.4436445801145,42873.90934957755,21921.202659140516,1453.0493394717153,23374.25199861223,20641.890615507284,16719.9313985609,7146.270465964505,21,1,24.615184957607312,5,972.0765868131143,6000.000000000002,5999.999999999999,193.75734939602796,157.96700327380952,309.0714212726924,-179.16392380768295,107.28719374999999,-286.45111755768295,23374.25199861223,1453.0493394717153,0.0
2025-02-08,1,40763.061047486044,368.35882433778994,41131.41987182383,21054.203319085937,1901.6580636939034,22955.86138277984,20150.90964792313,16322.236814817736,5725.584322051772,20,1,227.5285470588243,11,1405.0910736760457,5999.999999999999,5999.999999999998,163.4839488542899,116.74707628968261,253.9142977662317,-142.53986627379678,80.67786279761907,-223.2177290714159,22955.86138277984,1901.6580636939034,0.0
2025-02-09,1,86602.4202181871,1127.290241402065,87729.71045958916,54234.72205997538,3664.2538864419607,57898.97594641733,24388.74169469528,19754.880772703174,3540.4335709303823,34,1,648.1484566550102,12,907.0810289549372,5999.999999999998,6000.000000000002,139.30851451287438,108.63029503968258,194.48849218051868,-123.93260242082273,-23.384963690476198,-100.54763873034653,57898.97594641733,3664.2538864419607,0.0
2025-02-10,1,87098.61133826771,130.61752351343262,87229.22886178114,54558.05376112063,612.4494275652972,55170.50318868593,24503.881931796,19848.144364754764,8246.853711406573,12,1,28.396730846164246,3,3239.7500296730764,6000.000000000002,6000.000000000001,160.555448985612,199.73764166666666,349.0613014550002,-138.54788560665864,199.62862222222222,-338.17650782888086,55170.50318868593,612.4494275652972,0.0
