month,v1_total_cost_yuan,v2b_total_cost_yuan,savings_yuan,v1_emergency_cost_yuan,v2b_emergency_cost_yuan,v1_curtailment_kwh,v2b_curtailment_kwh
2025-02,1257253.9268068515,1260450.0215339102,-3196.094727058662,67767.07065247782,51588.7656232266,150461.8749846426,174626.8272418712
2025-03,1234699.0168952479,1210330.7203780846,24368.296517163282,167471.3095078975,95230.66595783026,205207.6352952427,255245.2325151637
2025-04,1102386.612354747,1024659.4528019764,77727.15955277067,240801.17477430656,89540.26861819123,221183.6569284323,308753.54415121285
2025-05,1280829.7167859909,1076294.6962692963,204535.02051669452,452778.5938069219,98654.190545053,240929.1311711945,381699.9572601542
2025-06,1826096.2915578592,1496901.787110527,329194.5044473321,759168.3872281938,167517.70551968782,109696.27779078072,323031.8510286297
2025-07,1964307.1624555406,1622542.4799235943,341764.68253194634,738445.6885862874,144583.94122178276,128451.62445703565,338119.932368504
2025-08,1451962.988321962,1383711.1271719956,68251.86114996648,260245.43560974213,96408.31593872306,280410.8557150356,395036.8042238478
2025-09,1284127.8718307866,1242747.1387167561,41380.733114030445,178574.15550952108,107738.09240560912,329063.73705495545,375053.04640309856
2025-10,1310531.8040795021,1199055.5276922246,111476.27638727752,264421.68352489785,83691.52356501663,208107.46198902995,278946.24906725937
2025-11,1458794.6594629579,1318847.8828597837,139946.77660317416,306081.7469528046,58528.80708154804,73612.14559133802,162442.6393214213
2025-12,1986606.5986143397,1751811.1235972438,234795.47501709592,505906.7264264358,84935.15848100308,31057.423876499677,189529.7705451657
