date,days,purchase_kwh,emergency_kwh,actual_grid_kwh,planned_cost_yuan,emergency_cost_yuan,total_cost_yuan,charge_kwh,discharge_kwh,curtailment_kwh,emergency_intervals,emergency_days,emergency_while_charging_kwh,emergency_while_charging_intervals,waste_while_discharging_kwh,soc_start_kwh,soc_end_kwh
2025-02-01,1,49841.76859770496,69.67004628887798,49911.43864399384,37098.41113872678,229.59575506779944,37328.006893794576,0.0,0.0,15533.262710660507,5,1,0.0,0,0.0,6000.0,6000.0
2025-02-02,1,87923.73254217257,18.49930167839318,87942.23184385097,69967.6779799004,93.63575956157433,70061.31373946198,0.0,0.0,9585.95389385096,3,1,0.0,0,0.0,6000.0,6000.0
2025-02-03,1,86712.7150371435,81.63328483517466,86794.34832197867,68994.65632669948,320.7424478999918,69315.39877459947,0.0,0.0,6577.431821978679,9,1,0.0,0,0.0,6000.0,6000.0
2025-02-04,1,86484.20521051945,700.1765144776336,87184.38172499707,68710.37011927622,2827.731024513496,71538.10114378973,0.0,0.0,5989.517774997077,22,1,0.0,0,0.0,6000.0,6000.0
2025-02-05,1,86290.46549908901,229.19806014896932,86519.66355923798,68661.18890849134,849.4777463598776,69510.66665485121,0.0,0.0,5771.236575904642,12,1,0.0,0,0.0,6000.0,6000.0
2025-02-06,1,86560.05547208797,143.7465042259097,86703.80197631389,68953.87088110499,695.3117402546858,69649.18262135967,0.0,0.0,6432.744759647215,14,1,0.0,0,0.0,6000.0,6000.0
2025-02-07,1,47929.48736327987,193.14172218267842,48122.62908546255,35640.01534599269,1075.031775830025,36715.04712182271,0.0,0.0,16316.94941879588,14,1,0.0,0,0.0,6000.0,6000.0
2025-02-08,1,47003.777527882725,137.7617698110837,47141.53929769381,34970.07629906933,767.7194779774233,35737.79577704676,0.0,0.0,15564.376581027138,11,1,0.0,0,0.0,6000.0,6000.0
2025-02-09,1,83369.2653590722,596.5230326248891,83965.78839169709,66651.51999061026,1795.1915825625792,68446.71157317286,0.0,0.0,4410.372425030431,17,1,0.0,0,0.0,6000.0,6000.0
2025-02-10,1,83537.3553877163,105.11591093823742,83642.47129865455,66762.35754518436,514.4449482285878,67276.80249341295,0.0,0.0,9315.833715321207,11,1,0.0,0,0.0,6000.0,6000.0
2025-02-11,1,82386.64047067825,97.42623111011213,82484.06670178837,65801.6402500392,517.8724452670124,66319.51269530621,0.0,0.0,7263.469568455028,11,1,0.0,0,0.0,6000.0,6000.0
2025-02-12,1,80942.38077150095,398.6157143646725,81340.99648586562,64736.78837938487,1619.5936980414806,66356.38207742634,0.0,0.0,6074.260352532285,22,1,0.0,0,0.0,6000.0,6000.0
2025-02-13,1,80443.66391257402,228.1788664749125,80671.84277904894,64449.541057415525,706.1321459208814,65155.6732033364,0.0,0.0,9342.363762382267,23,1,0.0,0,0.0,6000.0,6000.0
2025-02-14,1,44102.08706869701,393.3381952484341,44495.42526394544,32774.5580311761,1548.2238347139992,34322.7818658901,0.0,0.0,14693.623447278778,24,1,0.0,0,0.0,6000.0,6000.0
2025-02-15,1,43174.19941260034,741.5638979442782,43915.76331054462,32018.18850033515,2789.190259949467,34807.37876028461,0.0,0.0,14635.672210544622,43,1,0.0,0,0.0,6000.0,6000.0
2025-02-16,1,77200.05410731863,1146.420802675164,78346.47490999379,61577.59855451001,4672.3437366078715,66249.94229111788,0.0,0.0,2969.095809993795,57,1,0.0,0,0.0,6000.0,6000.0
2025-02-17,1,77244.38474653431,290.8954550401374,77535.28020157445,61529.12217143391,1105.6746610276678,62634.79683246158,0.0,0.0,6351.417034907786,27,1,0.0,0,0.0,6000.0,6000.0
2025-02-18,1,76511.7121897026,401.4004468322901,76913.11263653489,60962.984032287466,1668.6461327279246,62631.63016501539,0.0,0.0,4821.724853201548,30,1,0.0,0,0.0,6000.0,6000.0
2025-02-19,1,76101.35456567499,1223.3303411238344,77324.68490679882,60604.66937147357,4404.0355395967745,65008.70491107034,0.0,0.0,4445.357523465494,54,1,0.0,0,0.0,6000.0,6000.0
2025-02-20,1,75983.54999094523,540.4749487263359,76524.02493967157,60494.706443286246,2218.3200942871053,62713.02653757335,0.0,0.0,5530.89120633824,34,1,0.0,0,0.0,6000.0,6000.0
2025-02-21,1,42790.307816069784,596.9335783618139,43387.2413944316,31746.280639281907,2076.405914803314,33822.68655408522,0.0,0.0,17826.979361098267,32,1,0.0,0,0.0,6000.0,6000.0
2025-02-22,1,42341.735947350215,675.4637256800704,43017.199673030285,31355.87829665338,2442.743951655743,33798.62224830912,0.0,0.0,15172.436789696952,38,1,0.0,0,0.0,6000.0,6000.0
2025-02-23,1,74978.43833886132,834.0341033406648,75812.47244220198,59658.73162141937,3189.86480977488,62848.59643119425,0.0,0.0,4280.618758868645,41,1,0.0,0,0.0,6000.0,6000.0
2025-02-24,1,74830.73125543962,384.2745862669899,75215.0058417066,59421.84573512886,1668.1583674105093,61090.004102539366,0.0,0.0,7011.972225039948,28,1,0.0,0,0.0,6000.0,6000.0
2025-02-25,1,74500.83054208354,418.9282883039132,74919.75883038745,59246.15333308377,1440.2633463746736,60686.416679458445,0.0,0.0,9098.435597054122,28,1,0.0,0,0.0,6000.0,6000.0
2025-02-26,1,74398.8656142782,566.793721360895,74965.6593356391,59032.68175044194,2284.0246891696524,61316.70643961159,0.0,0.0,6150.811302305753,31,1,0.0,0,0.0,6000.0,6000.0
2025-02-27,1,73809.96917631925,510.62050103490947,74320.58967735416,58533.54940961737,2503.0236805472846,61036.57309016465,0.0,0.0,7364.005477354164,24,1,0.0,0,0.0,6000.0,6000.0
2025-02-28,1,42197.28795797379,318.4991940819274,42515.787152055724,31124.68594864431,1124.1393828776684,32248.825331521977,0.0,0.0,19223.193602055722,24,1,0.0,0,0.0,6000.0,6000.0
2025-03-01,1,41924.09917098773,317.72597288928944,42241.82514387702,30943.97948514182,1448.1451735362357,32392.124658678054,0.0,0.0,18583.05921054368,17,1,0.0,0,0.0,6000.0,6000.0
2025-03-02,1,73272.35065094655,2566.0106628682342,75838.36131381479,58144.84165002854,11400.293780147556,69545.1354301761,0.0,0.0,3480.05424714812,42,1,0.0,0,0.0,6000.0,6000.0
2025-03-03,1,73446.81232791815,2252.231413729252,75699.0437416474,58311.38748358763,10025.110899152138,68336.49838273977,0.0,0.0,3681.8971083140646,49,1,0.0,0,0.0,6000.0,6000.0
2025-03-04,1,74780.19752351248,266.9036865236019,75047.10121003608,59552.79976807196,946.9607153980768,60499.76048347004,0.0,0.0,5847.643276702759,21,1,0.0,0,0.0,6000.0,6000.0
2025-03-05,1,75723.72482010226,85.04136033782696,75808.76618044009,60301.60816417693,352.01112000905425,60653.61928418598,0.0,0.0,9678.294163773424,14,1,0.0,0,0.0,6000.0,6000.0
2025-03-06,1,75236.53768492377,166.1611610343464,75402.69884595812,60086.83363389242,566.7476426128558,60653.581276505276,0.0,0.0,9462.044712624778,16,1,0.0,0,0.0,6000.0,6000.0
2025-03-07,1,41555.52770453725,104.49002754497766,41660.017732082226,30733.50646658529,313.9811322980995,31047.487598883392,0.0,0.0,20737.732198748898,12,1,0.0,0,0.0,6000.0,6000.0
2025-03-08,1,40717.72692240802,178.7472091393604,40896.47413154738,30210.205541002193,460.0959182201693,30670.301459222363,0.0,0.0,21833.334614880718,16,1,0.0,0,0.0,6000.0,6000.0
2025-03-09,1,73412.27343882184,245.06015893256688,73657.3335977544,58598.059223219694,921.3624675950355,59519.42169081473,0.0,0.0,10323.808547754403,14,1,0.0,0,0.0,6000.0,6000.0
2025-03-10,1,72424.46597834866,438.984661055966,72863.45063940462,57653.339941438346,1751.8526795857254,59405.19262102407,0.0,0.0,4821.379189404622,27,1,0.0,0,0.0,6000.0,6000.0
2025-03-11,1,71987.66591033594,336.5618632263647,72324.2277735623,57187.478912764316,1250.3923506800688,58437.87126344439,0.0,0.0,8385.308973562313,25,1,0.0,0,0.0,6000.0,6000.0
2025-03-12,1,71550.79097032222,414.4168293788656,71965.2077997011,56855.37972812866,1243.7250288991322,58099.104757027795,0.0,0.0,9529.673116367754,28,1,0.0,0,0.0,6000.0,6000.0
2025-03-13,1,70741.0870993627,1411.6614324130987,72152.7485317758,56168.99379790113,6267.144439899157,62436.13823780029,0.0,0.0,4607.130515109132,41,1,0.0,0,0.0,6000.0,6000.0
