date,variant,control_issue_time,last_observation_end,initial_soc_kwh,innovation_kwh,objective_yuan,lower_bound_yuan,recovery_error,used_reference,reference_gap,removed_simultaneous_kwh,seconds
2025-02-01,C0,2025-02-01T00:00,,5999.999999999998,0.0,1122.7340443470468,1122.734044347048,1.1368683772161603e-12,1,-1.1368683772161603e-12,0.0,0.01575099999899976
2025-02-01,C0,2025-02-01T01:00,2025-02-01T01:00,9749.999999999998,-87.85854788674686,1084.9977090939842,1084.997709093985,6.821210263296962e-13,1,-6.821210263296962e-13,0.0,0.013893700001062825
2025-02-01,C0,2025-02-01T02:00,2025-02-01T02:00,10050.0,-104.74824158313987,1056.5962520248809,1056.5962520248816,6.821210263296962e-13,1,-6.821210263296962e-13,0.0,0.013397500006249174
2025-02-01,C0,2025-02-01T03:00,2025-02-01T03:00,10050.0,-42.821059246689,1023.7706783728629,1023.7706783728632,3.410605131648481e-13,1,-3.410605131648481e-13,0.0,0.012469400011468679
2025-02-01,C0,2025-02-01T04:00,2025-02-01T04:00,10050.0,-54.40449417783117,997.6547098236906,997.654709823691,3.410605131648481e-13,1,-3.410605131648481e-13,0.0,0.011598199984291568
2025-02-01,C0,2025-02-01T05:00,2025-02-01T05:00,10050.0,-31.689920948245003,975.6855727410996,975.6855727411001,5.684341886080801e-13,1,-5.684341886080801e-13,0.0,0.01198159999330528
2025-02-01,C0,2025-02-01T06:00,2025-02-01T06:00,10170.22601585004,-29.91450937621221,949.0435240943938,949.0435240943942,4.547473508864641e-13,1,-4.547473508864641e-13,0.0,0.01135640000575222
2025-02-01,C0,2025-02-01T07:00,2025-02-01T07:00,6228.864087905102,-44.0431849331012,931.7647413987296,931.7647413987303,6.821210263296962e-13,1,-6.821210263296962e-13,0.0,0.010683100001187995
2025-02-01,C0,2025-02-01T08:00,2025-02-01T08:00,3189.898104728917,11.702966040251454,889.6328407007073,889.6328407007067,6.821210263296962e-13,1,6.821210263296962e-13,0.0,0.010953299992252141
2025-02-01,C0,2025-02-01T09:00,2025-02-01T09:00,2016.0903414715535,40.92900277985311,833.9293741429013,833.9293741428997,1.5916157281026244e-12,1,1.5916157281026244e-12,0.0,0.009594100003596395
