date,days,purchase_kwh,emergency_kwh,actual_grid_kwh,planned_cost_yuan,emergency_cost_yuan,total_cost_yuan,charge_kwh,discharge_kwh,curtailment_kwh,emergency_intervals,emergency_days,emergency_while_charging_kwh,emergency_while_charging_intervals,waste_while_discharging_kwh,soc_start_kwh,soc_end_kwh,v2b_total_cost_yuan,savings_vs_v2b_yuan
2025-02-01,1,47108.69673477165,53.88252315074209,47162.57925792239,24536.508708154528,225.49712042534662,24762.005828579873,20708.02122045702,16799.67666111798,8876.058765250023,6,1,0.0,0,3126.4911161115397,5999.999999999998,5970.91169716911,24837.681053606968,75.67522502709471
2025-02-02,1,92642.0658755059,43.182846855203366,92685.2487223611,58510.15623006874,241.01012429834287,58751.16635436708,24932.73126384869,20169.33285116964,9565.572359682048,5,1,9.905549688582255,1,3664.313197825284,5970.91169716911,6000.0,58603.791989630314,-147.37436473676644
2025-02-03,1,91386.15482736447,83.39298159421364,91469.54780895868,57563.479479039546,298.6487238616693,57862.128202901215,24626.869756184373,19947.764502509348,6573.526055283658,10,1,56.6429833551158,5,2723.8341743450137,6000.0,6000.0,57884.221926939535,22.093724038320943
2025-02-04,1,91138.6012547946,652.6625632670077,91791.2638180616,57297.346839558224,2640.241243368138,59937.58808292636,24564.170542212792,19896.978139192364,5929.207465041181,22,1,215.9900864183171,8,1794.2034206864153,6000.0,6000.0,60125.07786407172,187.48978114535566
2025-02-05,1,90951.81537123266,233.16410481074877,91184.97947604342,57238.92264230261,863.564464299919,58102.48710660253,24587.53421717913,19915.902715915094,5764.920991446041,14,1,121.84640953252244,6,1926.7751525389144,6000.0,6000.0,58088.400388662485,-14.086717940044764
2025-02-06,1,91224.01153942634,120.40638794536684,91344.4179273717,57519.70753679443,546.1878991935481,58065.89543598797,24611.597275779335,19936.64790692369,6398.411341849397,10,1,39.86681259808461,3,2507.054943284706,6000.0,5998.606540508415,58215.019277049105,149.12384106113313
2025-02-07,1,44642.62631250728,144.64986649774266,44787.27617900502,23004.73184259773,803.4732924661128,23808.20513506384,20695.49832686509,16762.099531218293,9048.197716691557,13,1,7.982830459833394,2,1844.1130692723764,5998.606540508415,6000.0,23780.61528583093,-27.589849232910638
2025-02-08,1,42785.66022939172,186.22174836336467,42971.88197775508,22058.436880588102,1015.2290887376857,23073.66596932579,20461.99715679256,16574.217697001972,7506.939801297829,16,1,52.83689012149193,4,2455.0648787665286,6000.0,6000.000000000001,23119.492744909207,45.82677558341675
2025-02-09,1,88011.2695294969,511.5165912891506,88522.78612078606,55257.45400300764,1602.0954767731305,56859.54947978077,24574.57032546474,19905.40196362645,4298.201792281086,18,1,333.51878422111423,7,1501.9411758059148,6000.000000000001,6000.0,57090.935663424636,231.3861836438664
2025-02-10,1,88162.82575376949,110.3939998926838,88273.21975366217,55357.34385018368,527.0871785354012,55884.43102871908,24619.020332728018,19951.51949328247,9279.081330883295,11,1,27.433527000230924,5,4215.213707546515,6000.0,5988.763306919138,55871.78879841227,-12.642230306810234
2025-02-11,1,86887.68583263784,111.85913337486909,86999.5449660127,54377.59071051423,622.6045787661191,55000.19528928035,24509.490041133817,19846.97090266788,7116.428694213439,11,1,17.175500454652706,2,2460.511196710245,5988.763306919138,5995.114452086374,54895.463155781246,-104.73213349910657
2025-02-12,1,85321.08739948702,389.3855696648042,85710.47296915183,53311.19784472433,1572.9558778831656,54884.153722607494,24319.53803910252,19695.66411768775,5819.862914403717,24,1,88.90105411402772,6,2484.453811808069,5995.114452086374,5998.627445403363,54930.79154276581,46.63782015831384
2025-02-13,1,84784.95815971261,242.26503907075218,85027.22319878337,53022.16219782066,795.935405676857,53818.09760349752,24253.20832073411,19650.801992463643,9095.337853846224,23,1,119.78076617408408,11,4502.320919568572,5998.627445403363,5992.290497993344,53728.29434374154,-89.80325975597952
2025-02-14,1,37242.86877846178,812.2095592945994,38055.07833775638,19289.51690264792,2616.009029156972,21905.525931804892,19195.792322543624,15541.653229454343,4599.137428000432,34,1,555.6254271763373,16,1163.4654492307566,5992.290497993344,6000.0,21906.071940959504,0.5460091546119656
2025-02-15,1,36151.494449673875,777.7963576500198,36929.290807323894,18713.27420078771,2772.726977061311,21486.00117784902,18638.43668584271,15099.672411234978,4110.435432716166,40,1,320.9999337370157,11,833.7684111109861,6000.0,5997.179226997354,21720.787295977767,234.78611812874806
2025-02-16,1,81031.00431190294,1230.6392393779142,82261.64355128085,50212.47123818955,4867.890659297866,55080.36189748742,23363.95088316549,18939.902781877125,2460.2163499925005,64,1,550.5530644865854,29,1239.9808608150772,5997.179226997354,5980.398597538385,55196.61286814046,116.25097065303999
2025-02-17,1,81036.93809442122,335.31067826672137,81372.24877268793,50177.13865703837,1139.5505328031757,51316.68918984154,23293.376886973594,18867.08895245072,5762.097671498394,27,1,183.06330764601057,12,2829.004568817067,5980.398597538385,5981.0056264249415,51427.01382665547,110.32463681392983
2025-02-18,1,80338.00216658467,497.63223762535165,80835.63440421002,49653.05285333961,1925.8671566398662,51578.920009979476,23382.67330577178,18928.038217904144,4289.6115330090615,34,1,289.6691404758562,19,2165.246075562329,5981.0056264249415,5994.258026170498,51610.700346707374,31.78033672789752
2025-02-19,1,79863.45171007383,1173.779480468009,81037.23119054185,49278.530972346365,4211.494674927199,53490.025647273564,23487.057052751657,19041.32690851885,3712.173662975702,49,1,498.1290469791451,22,797.6315604792715,5994.258026170498,5975.57947529271,53739.52459123708,249.49894396351738
2025-02-20,1,79764.93631489796,496.209688264922,80261.14600316288,49200.21912150195,2042.981807468668,51243.20092897061,23352.876821792943,18923.592463350895,4838.727911387498,34,1,174.60459496617852,14,1850.7960597838314,5975.57947529271,5966.954766738698,51418.53921578905,175.3382868184417
2025-02-21,1,35677.503682564704,604.6603958127606,36282.164078377464,18513.38665835837,2088.6199019721803,20602.006560330552,18260.2761703825,14794.90319590171,7256.5290705633415,31,1,227.96266389782812,10,1204.70203741565,5966.954766738698,5962.421991303269,20518.87774205239,-83.1288182781609
2025-02-22,1,35174.118336227184,829.0486912986704,36003.16702752585,18239.410734362496,3109.03382801773,21348.444562380228,17980.802890552004,14570.976143935226,4748.577397575744,43,1,433.9874847306439,23,982.4351630415573,5962.421991303269,5955.171099538712,21391.56568430485,43.12112192462155
2025-02-23,1,78548.44339764726,1122.7748055478116,79671.21820319508,48313.097096602345,3685.8123196785546,51998.9094162809,23393.957869475984,18926.45629895739,3671.862949343152,50,1,603.755176283202,22,1313.808195932973,5955.171099538712,5980.337294336668,52131.7970378941,132.88762161320483
