month,v2b_cost_yuan,c1_cost_yuan,savings_yuan,v2b_waste_kwh,c1_waste_kwh
2025-02,1260450.0215339102,1258056.7314022814,2393.290131628746,174626.8272418712,173694.0762599828
2025-03,1210330.7203780846,1205761.6541479724,4569.066230112221,255245.2325151637,253694.4950902064
2025-04,1024659.4528019764,1021069.1254031238,3590.3273988525616,308753.54415121285,307565.53930046246
2025-05,1076294.6962692963,1072726.7063545722,3567.9899147241376,381699.9572601542,380311.10294393403
2025-06,1496901.787110527,1496757.2850617534,144.50204877369106,323031.8510286297,321718.61055343476
2025-07,1622542.4799235943,1618390.9926696415,4151.487253952771,338119.932368504,335900.19997711433
2025-08,1383711.1271719956,1378029.2613441956,5681.8658278000075,395036.8042238478,393025.0758885191
2025-09,1242747.1387167561,1241030.531013377,1716.6077033791225,375053.04640309856,373896.76831462304
2025-10,1199055.5276922246,1198531.719736257,523.8079559674952,278946.24906725937,278287.28727691906
2025-11,1318847.8828597837,1315330.1925428445,3517.690316939261,162442.6393214213,161189.57023733723
2025-12,1751811.1235972438,1752906.348090613,-1095.2244933692273,189529.7705451657,189187.3162705076
