date,common_initial_soc_kwh,purchase_l1_difference_kwh,charge_l1_difference_kwh,discharge_l1_difference_kwh,r1_end_soc_kwh,r2_end_soc_kwh,end_soc_difference_kwh
2025-02-01,8550.0,0.0,0.0,0.0,8550.000000000005,8550.000000000005,0.0
2025-02-02,8550.000000000004,0.0,0.0,0.0,8549.999999999996,8549.999999999996,0.0
2025-02-03,8550.0,0.0,0.0,0.0,8550.0,8550.0,0.0
2025-02-04,8550.0,0.0,0.0,0.0,8550.0,8550.0,0.0
2025-02-05,8550.0,2.2737367544323206e-13,1.1368683772161603e-13,0.0,8550.0,8550.0,0.0
2025-02-06,8550.0,0.0,0.0,0.0,8549.999999999998,8549.999999999998,0.0
2025-02-07,8550.0,0.0,0.0,0.0,8549.999999999996,8549.999999999996,0.0
2025-02-08,8550.0,0.0,0.0,0.0,8550.0,8550.0,0.0
2025-02-09,8550.0,0.0,0.0,0.0,8550.0,8550.0,0.0
2025-02-10,8550.0,0.0,0.0,0.0,8549.999999999996,8549.999999999996,0.0
2025-02-11,8549.999999999998,0.0,0.0,0.0,8550.0,8550.0,0.0
2025-02-12,8550.000000000002,0.0,0.0,0.0,8549.999999999996,8549.999999999996,0.0
2025-02-13,8550.000000000004,0.0,0.0,0.0,7949.999999999999,7949.999999999999,0.0
2025-02-14,7950.0,0.0,0.0,0.0,7926.464279321419,7926.464279321419,0.0
2025-02-15,7926.4642793214225,0.0,0.0,0.0,8549.999999999996,8549.999999999996,0.0
2025-02-16,8550.0,0.0,0.0,0.0,8550.000000000002,8550.000000000002,0.0
2025-02-17,8550.000000000007,0.0,0.0,0.0,8549.999999999993,8549.999999999993,0.0
2025-02-18,8549.999999999998,0.0,0.0,0.0,8549.999999999996,8549.999999999996,0.0
2025-02-19,8550.000000000002,0.0,0.0,0.0,8550.000000000004,8550.000000000004,0.0
2025-02-20,8550.0,0.0,0.0,0.0,7265.453446844513,7265.453446844513,0.0
2025-02-21,7265.4534468445145,0.0,0.0,0.0,6894.697823079273,6894.697823079273,0.0
2025-02-22,6894.697823079272,0.0,0.0,0.0,8549.999999999998,8549.999999999998,0.0
2025-02-23,8550.0,0.0,1.1368683772161603e-13,0.0,8549.999999999996,8549.999999999996,0.0
2025-02-24,8550.0,2.2737367544323206e-13,1.1368683772161603e-13,0.0,8550.0,8550.0,0.0
2025-02-25,8550.0,0.0,0.0,0.0,8550.000000000004,8550.000000000004,0.0
