month,r0_cost_yuan,r1_cost_yuan,r2_cost_yuan
2025-02,1260944.4751634898,1261209.4884968814,1261209.4884968814
2025-03,1212320.1217324259,1210975.6730189747,1210975.6730189747
2025-04,1027096.2484990746,1024939.0520503606,1024939.0520503606
2025-05,1088362.3139282088,1086269.213414498,1086269.213414498
2025-06,1536368.6909493858,1534495.134422163,1534495.134422163
2025-07,1657079.1920976604,1652620.672509116,1652620.672509116
2025-08,1379539.9164278086,1379598.5292745815,1379598.5292745815
2025-09,1260175.9547559598,1257961.8220242932,1257961.8220242932
2025-10,1207398.0054417385,1204145.1383686073,1204145.1383686073
2025-11,1319603.9094698278,1318131.6807942975,1318131.6807942975
2025-12,1773420.3626443625,1770828.2459776958,1770828.2459776958
