date,phase,horizon_hours,horizon_objective_yuan,horizon_planned_cost_yuan,first_day_planned_cost_yuan,horizon_final_soc_kwh,first_day_end_soc_kwh,seconds,objective_error
2025-02-01,evaluation,24,22287.22646871978,21172.932150448636,21172.932150448636,1200.0000000000055,1200.0000000000036,0.017677600000752136,0.0
2025-02-02,evaluation,24,60064.94893581856,58654.254407450644,58654.254407450644,1199.9999999999993,1200.0000000000002,0.018972499994561076,7.275957614183426e-12
2025-02-03,evaluation,24,59508.487311593606,58069.929718398234,58069.929718398234,1200.000000000001,1200.000000000001,0.017688100022496656,3.637978807091713e-11
2025-02-04,evaluation,24,59351.88115789088,57867.248799179186,57867.248799179186,1200.0000000000025,1199.9999999999998,0.017526200012071058,5.820766091346741e-11
2025-02-05,evaluation,24,58882.21577938942,57389.76868233434,57389.76868233434,1200.0000000000014,1200.0,0.017403699981514364,7.275957614183426e-12
2025-02-06,evaluation,24,59188.63799006709,57679.31657836058,57679.31657836058,1199.9999999999986,1200.0000000000005,0.020485400018515065,1.4551915228366852e-11
2025-02-07,evaluation,24,24568.910564916587,23424.124339062855,23424.124339062855,1200.0000000000027,1200.0,0.019328599999425933,7.275957614183426e-12
2025-02-08,evaluation,24,23528.634092594966,22439.08791969197,22439.08791969197,1199.9999999999993,1199.9999999999995,0.019024800014449283,3.637978807091713e-12
2025-02-09,evaluation,24,56804.44219232117,55385.32341831379,55385.32341831379,1199.9999999999986,1199.999999999999,0.019529599987436086,2.1827872842550278e-11
2025-02-10,evaluation,24,57067.83033998291,55664.54281191889,55664.54281191889,1199.999999999996,1199.9999999999982,0.018745600013062358,4.3655745685100555e-11
2025-02-11,evaluation,24,56242.09453065548,54855.89595604644,54855.89595604644,1199.9999999999986,1200.0000000000014,0.01952010000240989,0.0
2025-02-12,evaluation,24,55446.01581726294,54040.1047297053,54040.1047297053,1199.9999999999973,1200.000000000003,0.016355800005840138,4.3655745685100555e-11
2025-02-13,evaluation,24,54984.68796942095,53569.565672665085,53569.565672665085,1199.9999999999936,1200.0,0.017450699990149587,5.820766091346741e-11
2025-02-14,evaluation,24,20493.87626186539,19561.651525561254,19561.651525561254,1199.9999999999966,1199.9999999999995,0.015552599972579628,1.0913936421275139e-11
2025-02-15,evaluation,24,19846.60322238509,19070.97073880244,19070.97073880244,1200.0000000000005,1200.0000000000023,0.015966700011631474,1.8189894035458565e-11
2025-02-16,evaluation,24,51756.14708318095,50342.57713035363,50342.57713035363,1200.000000000009,1200.0000000000064,0.017224500013981014,1.4551915228366852e-11
2025-02-17,evaluation,24,51175.58203181733,49777.62851894755,49777.62851894755,1199.999999999994,1199.9999999999977,0.018230299989227206,5.093170329928398e-11
2025-02-18,evaluation,24,50865.2935662148,49442.089097514945,49442.089097514945,1199.999999999997,1200.000000000002,0.01722809998318553,2.1827872842550278e-11
2025-02-19,evaluation,24,50819.45969362284,49449.65380732049,49449.65380732049,1200.0000000000032,1200.0000000000011,0.01787420001346618,1.4551915228366852e-11
2025-02-20,evaluation,24,50618.74716090273,49193.51231744597,49193.51231744597,1200.0000000000023,1200.0000000000014,0.020247300009941682,0.0
