date,days,purchase_kwh,emergency_kwh,actual_grid_kwh,planned_cost_yuan,emergency_cost_yuan,total_cost_yuan,charge_kwh,discharge_kwh,curtailment_kwh,emergency_intervals,emergency_days,emergency_while_charging_kwh,emergency_while_charging_intervals,waste_while_discharging_kwh,soc_start_kwh,soc_end_kwh
2025-02-01,1,47293.73032779663,73.6686984037317,47367.39902620036,24591.96548378197,339.2030305785151,24931.168514360485,20757.45641808369,16813.539698647786,9045.306373431124,6,1,13.937608876378022,1,2155.1445219068073,8550.0,8550.000000000004
2025-02-02,1,92782.59362478415,15.637103422043538,92798.2307282062,58570.63774078398,74.39463178326386,58645.03237256725,24833.33333333333,20115.000000000004,9723.619444872858,2,1,0.0,0,2545.6315063148036,8550.000000000004,8550.0
2025-02-03,1,91954.22806000957,55.171019250674135,92009.39907926024,57986.313051731566,206.97394865311549,58193.287000384684,24724.61557473965,20026.93861553912,7094.805620059712,7,1,11.064681736468401,2,2289.86167725369,8550.0,8550.0
2025-02-04,1,91733.1996026219,484.08143055380236,92217.2810331757,57783.632132512525,1862.997096989218,59646.62922950174,24631.744084474045,19951.712708423976,6342.385707125631,19,1,190.60984947286016,6,1278.2777699669125,8550.0,8550.0
2025-02-05,1,91020.38326630004,217.33824648869788,91237.72151278873,57306.15201566768,808.4329112294952,58114.58492689717,24425.898168879863,19784.97751679269,5848.37387736822,11,1,111.89585672907992,4,1192.0550361503765,8550.0,8550.0
2025-02-06,1,91355.60824709479,148.34310138575677,91503.95134848055,57595.69991169391,682.4204722858943,58278.12038397981,24523.973221160093,19864.418309139677,6573.339219793459,12,1,34.801896853621884,2,1811.8515253308037,8550.0,8550.0
2025-02-07,1,45270.70147114753,82.88370070828915,45353.58517185582,23340.50767239619,481.1470266257303,23821.65469902192,20396.04180648481,16520.793863252697,9672.65756195704,9,1,0.0,0,1369.5387111085415,8550.0,8550.0
2025-02-08,1,43408.55883082272,131.11122399550155,43539.67005481823,22355.471253025302,820.8045423048342,23176.275795330137,20566.76571065574,16659.08022563115,8054.821853126966,10,1,32.7232112573613,3,2084.1469245681124,8550.0,8550.0
2025-02-09,1,88155.68472790606,636.32730619396,88792.01203410001,55301.70675164712,1962.0444289707132,57263.75118061784,24416.64933945969,19777.48596496235,4597.432692936008,17,1,396.1039043152192,6,1220.603245021126,8550.0,8550.0
2025-02-10,1,88537.01418655945,55.49132795129094,88592.50551451073,55580.926145252226,250.34990502238372,55831.27605027461,24530.12454504524,19869.400881486647,9605.14426761881,8,1,0.0,0,3632.90817887483,8550.0,8549.999999999998
2025-02-11,1,87494.95746209426,71.71021941855636,87566.66768151282,54772.279289379774,361.689238229453,55133.96852760923,24518.550571009207,19860.02596251746,7687.5459396877295,8,1,0.0,0,2372.35879893141,8549.999999999998,8550.000000000002
2025-02-12,1,86308.1712273296,251.7212623290203,86559.89248965862,53956.48806303864,1047.362716284398,55003.85077932304,24315.790534206346,19695.790332707144,6673.156154826086,18,1,20.02497833465827,2,2340.814184401605,8550.000000000002,8550.000000000004
