date,start_slot,end_slot,interval_label,emergency_kwh
2025-02-22,125,125,20:40-20:50,10.520479534349136
2025-02-22,130,131,21:30-21:50,41.27790138888879
2025-02-24,124,126,20:30-21:00,98.81084521393359
2025-02-24,129,131,21:20-21:50,54.52904809999954
2025-02-26,96,99,15:50-16:30,166.27902999711338
2025-02-26,103,103,17:00-17:10,4.131575555555813
2025-02-26,122,125,20:10-20:50,205.74555860645683
2025-02-26,130,130,21:30-21:40,0.9554369333336803
2025-02-28,46,47,07:30-07:50,34.70525827767611
2025-02-28,49,49,08:00-08:10,31.87075380952383
2025-03-01,125,129,20:40-21:30,279.5320595238127
2025-03-01,131,131,21:40-21:50,9.272016033333443
2025-03-02,77,90,12:40-15:00,2692.807300204945
2025-03-02,92,95,15:10-15:50,46.46909197023774
2025-03-02,97,97,16:00-16:10,0.8910305952378508
2025-03-02,100,101,16:30-16:50,50.45898583333317
2025-03-02,103,113,17:00-18:50,733.3796284753172
2025-03-02,116,116,19:10-19:20,126.3721133889718
2025-03-02,122,130,20:10-21:40,1021.8457598333341
2025-03-03,60,64,09:50-10:40,583.754484140648
2025-03-03,83,89,13:40-14:50,1294.6281833333337
2025-03-03,92,104,15:10-17:20,684.8294070387623
2025-03-03,107,108,17:40-18:00,18.598969523809615
2025-03-03,110,113,18:10-18:50,495.94665847460254
2025-03-03,122,131,20:10-21:50,875.2266347799507
2025-03-09,130,131,21:30-21:50,25.215226635629005
2025-03-10,85,86,14:00-14:20,48.981056139393694
2025-03-10,89,89,14:40-14:50,199.60693333333336
2025-03-10,102,105,16:50-17:30,85.45081737469336
2025-03-10,107,113,17:40-18:50,161.5196876183545
2025-03-10,122,122,20:10-20:20,211.92241904761852
2025-03-10,124,125,20:30-20:50,67.74344000000008
2025-03-10,128,129,21:10-21:30,13.463620633333196
2025-03-11,98,102,16:10-17:00,97.60756148342458
2025-03-11,105,105,17:20-17:30,3.052103762491697
2025-03-11,122,125,20:10-20:50,95.75967737564679
2025-03-11,127,130,21:00-21:40,69.9555332333334
2025-03-12,122,127,20:10-21:10,180.74308742176447
2025-03-13,79,82,13:00-13:40,140.2864833333333
2025-03-13,85,89,14:00-14:50,351.17050000000006
2025-03-13,99,104,16:20-17:20,163.37641674309023
2025-03-13,107,113,17:40-18:50,473.3240830997669
2025-03-13,122,122,20:10-20:20,695.6719554857183
2025-03-13,124,126,20:30-21:00,95.46509666666657
2025-03-15,44,47,07:10-07:50,309.79929277143117
2025-03-18,57,60,09:20-10:00,230.11323393809417
2025-03-20,103,105,17:00-17:30,31.13799373527698
2025-03-20,122,124,20:10-20:40,108.7135161005699
2025-03-20,130,131,21:30-21:50,36.406666902049736
2025-03-21,45,46,07:20-07:40,119.7107999095267
2025-03-22,45,46,07:20-07:40,56.967991909524315
2025-03-23,57,60,09:20-10:00,249.49216906364208
2025-03-25,58,64,09:30-10:40,394.60056280000674
