date,start_slot,end_slot,interval_label,emergency_kwh
2025-02-22,125,125,20:40-20:50,10.520479534349136
2025-02-22,130,131,21:30-21:50,41.27790138888879
2025-02-24,124,126,20:30-21:00,98.81084521393359
2025-02-24,129,131,21:20-21:50,54.52904809999954
2025-02-26,124,125,20:30-20:50,376.1561641591256
2025-02-26,130,130,21:30-21:40,0.9554369333336803
2025-02-28,48,49,07:50-08:10,66.57601208720024
2025-03-01,125,129,20:40-21:30,279.5320595238127
2025-03-01,131,131,21:40-21:50,9.272016033333443
2025-03-02,118,130,19:30-21:40,4672.223910301374
2025-03-03,60,64,09:50-10:40,583.754484140648
2025-03-03,120,131,19:50-21:50,3369.229853150458
2025-03-09,130,131,21:30-21:50,25.215226635629005
2025-03-10,123,125,20:20-20:50,775.2243535133963
2025-03-10,128,129,21:10-21:30,13.463620633333196
2025-03-11,124,125,20:30-20:50,196.4193426215607
2025-03-11,127,130,21:00-21:40,69.9555332333334
2025-03-12,124,127,20:30-21:10,180.7430874217647
2025-03-13,122,126,20:10-21:00,1919.2945353285786
2025-03-15,45,47,07:20-07:50,309.7992927714313
2025-03-18,57,60,09:20-10:00,230.11323393809417
2025-03-20,124,124,20:30-20:40,139.8515098358463
2025-03-20,130,131,21:30-21:50,36.406666902049736
2025-03-21,45,46,07:20-07:40,119.7107999095267
2025-03-22,45,46,07:20-07:40,56.967991909524315
2025-03-23,57,60,09:20-10:00,249.49216906364208
2025-03-25,58,64,09:30-10:40,394.60056280000674
2025-03-25,123,125,20:20-20:50,837.7150587380991
2025-03-25,128,128,21:10-21:20,2.2472966666662386
2025-03-25,130,130,21:30-21:40,12.422086109528323
2025-03-27,125,125,20:40-20:50,38.67474831786562
2025-03-27,130,131,21:30-21:50,74.2891785999995
2025-03-28,44,47,07:10-07:50,298.1738946666669
2025-03-29,43,46,07:00-07:40,221.9910285999989
2025-03-30,56,57,09:10-09:30,29.354259390477928
2025-03-31,123,126,20:20-21:00,766.372328892467
2025-04-01,120,125,19:50-20:50,3424.0428414523726
2025-04-01,131,131,21:40-21:50,9.154661914666619
2025-04-02,51,62,08:20-10:20,2442.00028857531
2025-04-02,122,125,20:10-20:50,1600.816077318324
2025-04-03,52,57,08:30-09:30,915.1557873821496
2025-04-04,43,45,07:00-07:30,296.07707211904835
2025-04-05,41,44,06:40-07:20,378.4256191047656
2025-04-06,56,56,09:10-09:20,9.614631581641696
2025-04-08,53,58,08:40-09:40,490.2538447809414
2025-04-08,124,125,20:30-20:50,116.65279620991157
2025-04-08,128,128,21:10-21:20,24.03783999999964
2025-04-08,130,130,21:30-21:40,4.700936837333188
2025-04-09,120,125,19:50-20:50,3427.3980778100804
2025-04-10,131,131,21:40-21:50,41.15204030476514
2025-04-11,42,44,06:50-07:20,153.08431031904138
2025-04-13,124,128,20:30-21:20,309.57970952518303
2025-04-16,122,125,20:10-20:50,1924.354014485693
