month,dp_cost_yuan,greedy_cost_yuan,savings_yuan
2025-02,1241083.3858219965,1241650.4783547195,567.0925327229779
2025-03,1141736.7949548312,1157727.0985699587,15990.303615127457
2025-04,1003679.9087829044,1015560.2632338055,11880.354450901155
2025-05,972548.4259272504,977178.0656208098,4629.63969355938
2025-06,1522798.5274175252,1562310.7414351397,39512.21401761449
2025-07,1485742.4808358538,1496838.4555932067,11095.974757352844
2025-08,1315681.9370574136,1321201.0088916398,5519.071834226139
2025-09,1141121.533276497,1142667.87398638,1546.3407098830212
2025-10,1193317.3222905935,1210276.272401627,16958.950111033395
2025-11,1251022.5472782587,1256148.546321353,5125.999043094227
2025-12,1749851.9509951235,1787154.6631885062,37302.71219338267
