date,start_slot,end_slot,interval_label,emergency_kwh
2025-02-09,65,65,10:40-10:50,17.06119602756555
2025-02-09,78,79,12:50-13:10,220.31722380952397
2025-02-13,1,2,00:00-00:20,25.68289833333324
2025-02-13,35,35,05:40-05:50,3.91370095238085
2025-02-14,1,1,00:00-00:10,19.868425000000002
2025-02-14,97,97,16:00-16:10,10.931013988273797
2025-02-15,1,1,00:00-00:10,5.730551111111083
2025-02-15,5,5,00:40-00:50,21.56610888888889
2025-02-15,93,93,15:20-15:30,31.981600827083163
2025-02-15,95,97,15:40-16:10,119.1618957419767
2025-02-16,4,5,00:30-00:50,11.615645833333133
2025-02-16,35,35,05:40-05:50,12.042521666666516
2025-02-16,39,43,06:20-07:10,277.19227958066045
2025-02-16,65,65,10:40-10:50,54.451040714285796
2025-02-16,83,83,13:40-13:50,19.101406852216407
2025-02-16,102,102,16:50-17:00,31.010738095238153
2025-02-17,2,2,00:10-00:20,3.3669722222222163
2025-02-17,14,14,02:10-02:20,34.457935833333295
2025-02-17,35,35,05:40-05:50,7.817468333333295
2025-02-17,41,41,06:40-06:50,11.81839182936426
2025-02-18,35,35,05:40-05:50,7.187135000000012
2025-02-18,39,39,06:20-06:30,71.6711658790955
2025-02-18,78,78,12:50-13:00,27.367083333333312
2025-02-19,9,9,01:20-01:30,22.45666666666682
2025-02-19,12,13,01:50-02:10,47.2335829176039
2025-02-19,17,18,02:40-03:00,52.61052416666632
2025-02-19,38,39,06:10-06:30,665.3317312830984
2025-02-19,42,42,06:50-07:00,25.270388133176517
2025-02-19,81,81,13:20-13:30,20.96375000000012
2025-02-19,92,93,15:10-15:30,31.18436678571436
2025-02-19,97,97,16:00-16:10,29.001807976190378
2025-02-20,35,35,05:40-05:50,27.228284166666754
2025-02-20,38,41,06:10-06:50,232.6515836573874
2025-02-20,45,45,07:20-07:30,15.203452380952456
2025-02-20,47,47,07:40-07:50,33.775983174603255
2025-02-20,103,104,17:00-17:20,50.04635929402457
2025-02-21,1,2,00:00-00:20,31.0827355555557
2025-02-21,4,6,00:30-01:00,91.73878888888885
2025-02-21,9,9,01:20-01:30,28.08177777777769
2025-02-21,12,13,01:50-02:10,92.54519583333342
2025-02-21,106,107,17:30-17:50,96.07991595609474
2025-02-22,3,6,00:20-01:00,41.30765888888902
2025-02-22,8,9,01:10-01:30,55.28233694444435
2025-02-22,12,13,01:50-02:10,100.35755583333338
2025-02-22,95,97,15:40-16:10,163.92645564863693
2025-02-22,104,104,17:10-17:20,52.87810415577661
2025-02-22,106,107,17:30-17:50,217.14841678657692
2025-02-23,1,4,00:00-00:40,100.25616333333369
2025-02-23,8,11,01:10-01:50,50.047257777777645
2025-02-23,13,13,02:00-02:10,6.89277222222222
2025-02-23,16,16,02:30-02:40,5.305375555555656
2025-02-23,19,20,03:00-03:20,39.48686666666674
2025-02-23,28,28,04:30-04:40,59.47897523809536
2025-02-23,38,41,06:10-06:50,604.1385844188148
2025-02-23,45,45,07:20-07:30,8.199726190476383
2025-02-23,47,47,07:40-07:50,59.956198571428615
2025-02-23,83,83,13:40-13:50,48.393083333333266
2025-02-23,93,94,15:20-15:40,30.69146821428535
2025-02-24,3,4,00:20-00:40,29.200900000000047
2025-02-24,8,9,01:10-01:30,6.0559716666666645
2025-02-24,19,20,03:00-03:20,43.35399777777786
2025-02-24,38,38,06:10-06:20,529.7819556265028
2025-02-24,40,41,06:30-06:50,82.77644821428568
2025-02-24,94,96,15:30-16:00,99.19233011121278
2025-02-24,98,98,16:10-16:20,19.69673676914408
2025-02-24,100,101,16:30-16:50,61.844874267959256
2025-02-24,104,106,17:10-17:40,35.2568873192261
2025-02-25,1,1,00:00-00:10,24.54026666666664
2025-02-25,6,8,00:50-01:20,27.54593
2025-02-25,13,15,02:00-02:30,75.37311666666687
2025-02-25,17,21,02:40-03:30,76.76143111111105
2025-02-25,25,25,04:00-04:10,6.264599999999973
2025-02-25,35,35,05:40-05:50,67.63116547619055
2025-02-25,38,39,06:10-06:30,887.8226842750979
2025-02-25,42,43,06:50-07:10,28.027027738095
2025-02-25,128,128,21:10-21:20,18.7701609012656
2025-02-26,7,10,01:00-01:40,36.05029999999965
2025-02-26,13,16,02:00-02:40,54.20134000000007
2025-02-26,19,21,03:00-03:30,45.991833333333375
2025-02-26,25,25,04:00-04:10,3.8240566666665927
2025-02-26,30,30,04:50-05:00,7.988666666666518
2025-02-26,35,35,05:40-05:50,11.921252142857286
2025-02-26,38,42,06:10-07:00,887.357202324462
2025-02-26,83,84,13:40-14:00,42.300033333333545
2025-02-26,89,89,14:40-14:50,269.65189999999996
2025-02-26,92,93,15:10-15:30,67.69555476190465
2025-02-26,96,99,15:50-16:30,178.5766965969679
2025-02-26,107,107,17:40-17:50,34.828200714285686
2025-02-27,5,5,00:40-00:50,7.232663333333221
2025-02-27,7,8,01:00-01:20,44.608963333333236
2025-02-27,14,15,02:10-02:30,34.175739999999905
2025-02-27,21,22,03:20-03:40,30.243310833333226
2025-02-27,26,26,04:10-04:20,20.604799999999955
2025-02-27,35,35,05:40-05:50,21.709812261904816
2025-02-27,38,38,06:10-06:20,686.1734361739542
2025-02-27,40,41,06:30-06:50,531.9308470595238
2025-02-27,58,59,09:30-09:50,106.58205817681439
2025-02-27,93,93,15:20-15:30,23.264976190476204
2025-02-27,112,112,18:30-18:40,28.56345357318978
2025-02-28,1,12,00:00-02:00,405.370139166666
2025-02-28,15,16,02:20-02:40,56.100734166666655
2025-02-28,20,20,03:10-03:20,5.635594145634366
2025-02-28,23,24,03:40-04:00,42.53532879758756
2025-02-28,28,28,04:30-04:40,0.5569774120135165
2025-02-28,30,30,04:50-05:00,62.81680699896367
2025-02-28,101,101,16:40-16:50,53.10996809523826
2025-03-01,1,6,00:00-01:00,200.61831333333328
2025-03-01,8,16,01:10-02:40,236.4535099999997
2025-03-01,95,99,15:40-16:30,288.08845349206354
2025-03-01,102,103,16:50-17:10,110.4656482142857
2025-03-02,9,9,01:20-01:30,10.86099999999999
2025-03-02,12,13,01:50-02:10,1.6043066666666164
2025-03-02,16,17,02:30-02:50,28.887139999999704
2025-03-02,19,19,03:00-03:10,1.4184066666665558
2025-03-02,40,40,06:30-06:40,50.707118019203676
2025-03-02,42,42,06:50-07:00,32.26879761904749
2025-03-02,62,64,10:10-10:40,86.6844676752734
2025-03-02,77,90,12:40-15:00,2689.5966731385174
2025-03-02,92,95,15:10-15:50,46.46909197023774
2025-03-02,97,97,16:00-16:10,0.8910305952378508
2025-03-02,100,101,16:30-16:50,50.07980059523791
2025-03-02,103,113,17:00-18:50,734.0001349523803
2025-03-02,119,119,19:40-19:50,43.42649465275133
2025-03-02,122,123,20:10-20:30,714.9529579619877
2025-03-02,125,130,20:40-21:40,222.02751338187485
2025-03-03,1,2,00:00-00:20,19.77940718188586
2025-03-03,4,5,00:30-00:50,49.31032333333337
2025-03-03,8,8,01:10-01:20,1.230130000000031
2025-03-03,10,13,01:30-02:10,109.06423635427029
2025-03-03,17,17,02:40-02:50,7.4873233333331655
2025-03-03,20,22,03:10-03:40,60.286673333333056
2025-03-03,40,40,06:30-06:40,158.26772310881455
2025-03-03,44,45,07:10-07:30,41.710750000000246
2025-03-03,47,47,07:40-07:50,81.10887809523797
2025-03-03,57,63,09:20-10:30,1601.5950553962316
2025-03-03,83,89,13:40-14:50,1262.526266139376
2025-03-03,92,100,15:10-16:40,625.1055072768571
2025-03-03,103,103,17:00-17:10,16.085955714285774
2025-03-03,126,129,20:50-21:30,123.55972000000054
2025-03-04,3,7,00:20-01:10,56.167336666666756
2025-03-04,11,13,01:40-02:10,124.52448999999979
2025-03-04,18,18,02:50-03:00,5.0933333333332484
2025-03-04,21,21,03:20-03:30,13.132333333333236
2025-03-04,24,26,03:50-04:20,39.97210619047646
2025-03-04,29,29,04:40-04:50,7.553236920513075
2025-03-04,35,35,05:40-05:50,7.424162380952393
2025-03-04,38,38,06:10-06:20,16.575951543186534
2025-03-04,94,98,15:30-16:20,109.92568026666686
2025-03-05,1,1,00:00-00:10,6.981370000000084
2025-03-05,4,6,00:30-01:00,44.32662333333349
2025-03-05,12,13,01:50-02:10,31.443866666666395
2025-03-05,17,17,02:40-02:50,5.230956666666543
2025-03-05,19,20,03:00-03:20,29.408743333333177
2025-03-05,35,35,05:40-05:50,16.944284285714502
2025-03-05,38,38,06:10-06:20,99.52283438641308
2025-03-05,81,83,13:20-13:50,162.2058889537389
2025-03-05,128,128,21:10-21:20,21.086026666666726
2025-03-06,1,1,00:00-00:10,0.7653714034928498
2025-03-06,3,3,00:20-00:30,14.446666666666488
2025-03-06,12,14,01:50-02:20,70.97889333333342
2025-03-06,16,17,02:30-02:50,44.876883333333126
2025-03-06,25,26,04:00-04:20,17.820066190476005
2025-03-06,29,29,04:40-04:50,4.477367142857367
2025-03-06,35,35,05:40-05:50,3.2155866666667468
2025-03-06,42,42,06:50-07:00,55.26320238095232
2025-03-06,94,98,15:30-16:20,73.73248931428589
2025-03-06,105,108,17:20-18:00,107.04395794771064
2025-03-07,1,13,00:00-02:10,466.6535969423576
2025-03-07,95,96,15:40-16:00,135.19263449523788
2025-03-08,1,7,00:00-01:10,243.84500333333318
2025-03-08,9,14,01:20-02:20,307.6379333333331
2025-03-08,16,18,02:30-03:00,163.43861666666686
2025-03-08,21,21,03:20-03:30,17.125333333333344
2025-03-08,100,100,16:30-16:40,49.40675047619038
2025-03-09,4,7,00:30-01:10,40.94546333333369
2025-03-09,9,15,01:20-02:30,194.55228999999986
2025-03-09,17,24,02:40-04:00,188.4199152419908
2025-03-09,28,31,04:30-05:10,78.6386385714286
2025-03-09,42,43,06:50-07:10,58.6283971428571
2025-03-09,112,113,18:30-18:50,193.71020981427114
2025-03-10,1,17,00:00-02:50,340.6121920798968
2025-03-10,21,22,03:20-03:40,24.30050000000017
2025-03-10,27,33,04:20-05:30,134.05132664160462
2025-03-10,42,42,06:50-07:00,46.695761904761724
2025-03-10,45,45,07:20-07:30,66.10734523809515
2025-03-10,89,89,14:40-14:50,100.35820923971976
2025-03-10,102,103,16:50-17:10,61.030216190475926
2025-03-10,111,111,18:20-18:30,16.372709263173007
2025-03-10,128,129,21:10-21:30,29.881438661745847
2025-03-11,1,4,00:00-00:40,82.2017699999999
2025-03-11,7,9,01:00-01:30,63.052423333333536
2025-03-11,11,15,01:40-02:30,59.668006666666656
2025-03-11,18,19,02:50-03:10,37.919623333333334
2025-03-11,25,26,04:00-04:20,42.16594523809499
2025-03-11,30,33,04:50-05:30,28.242460031639553
2025-03-11,40,41,06:30-06:50,124.33064910738963
