date,days,purchase_kwh,emergency_kwh,actual_grid_kwh,planned_cost_yuan,emergency_cost_yuan,total_cost_yuan,charge_kwh,discharge_kwh,curtailment_kwh,emergency_intervals,emergency_days,emergency_while_charging_kwh,emergency_while_charging_intervals,waste_while_discharging_kwh,soc_start_kwh,soc_end_kwh
2025-02-01,1,50549.81748094104,7.521544151400938e-14,50549.81748094104,29052.093774647376,3.2635685430146276e-13,29052.09377464738,14329.650675543799,11250.027144817166,13092.018016881073,0,0,7.521544151400938e-14,0,0.0,6000.0,6396.655447081459
2025-02-02,1,96645.18901685337,1.8851586958135158e-13,96645.18901685337,64803.431366062185,9.575582549103956e-13,64803.43136606219,17069.742795780814,13671.568864797036,14890.737135869591,0,0,1.7985612998927536e-14,0,3.552713678800501e-13,6396.655447081459,6568.791891287479
2025-02-03,1,96107.56793041987,5.857796886443722e-13,96107.56793041987,64269.79376321282,3.1417002801376046e-12,64269.79376321282,17310.026414788805,13738.162548650358,12318.78756428143,0,0,2.0919203869151914e-13,0,1.1368683772161603e-13,6568.791891287479,6883.1906105414555
2025-02-04,1,95840.5750745633,5.712930128964899e-13,95840.5750745633,64042.172055977186,2.7824985926461207e-12,64042.172055977186,18293.122090799454,14733.70525166582,11086.294285429662,0,0,3.4391933745325787e-13,0,4.796163466380676e-14,6883.1906105414555,6976.2168792989405
2025-02-05,1,94701.6640660557,6.109627777653448e-13,94701.6640660557,63157.86995623246,3.2758256303952808e-12,63157.86995623247,18379.926993663583,15015.780030561655,10589.090119620449,0,0,2.556914098852947e-13,0,1.1368683772161603e-13,6976.2168792989405,6833.951139638766
2025-02-06,1,93101.14387099558,7.620570841027074e-13,93101.14387099558,62087.641640877904,3.2530964588772804e-12,62087.64164087791,18379.748318744023,14930.37867563492,9380.717011219813,0,0,5.346834086594754e-13,0,1.0658141036401503e-13,6833.951139638766,6786.414986914027
2025-02-07,1,40409.71562947711,8.637535131583718e-14,40409.71562947711,22483.914633577122,4.13624134942836e-13,22483.914633577122,16449.67075962521,14309.171788333331,6463.536991518564,0,0,4.263256414560601e-14,0,0.0,6786.414986914027,5692.038905761904
2025-02-08,1,40110.532029085916,5.684341886080802e-14,40110.532029085916,22050.262885730102,2.844799951162713e-13,22050.262885730102,17208.19134405211,13772.929999356262,5098.107967723401,0,0,0.0,0,0.0,5692.038905761904,5876.155560568517
2025-02-09,1,86326.21640403842,237.37841983709018,86563.59482387551,55374.08800295668,1007.4131411646513,56381.50114412133,21617.072083122774,16969.189237747065,2360.2960118331307,3,1,5.395161314231123e-13,0,1.1368683772161603e-13,5876.155560568517,6476.865726771161
2025-02-10,1,86342.77777428043,2.908626031000727e-13,86342.77777428043,55394.88420179418,1.3515001039956716e-12,55394.884201794186,18619.28844170297,14810.661786342891,8207.513535587015,0,0,1.984920474512597e-13,0,1.1368683772161603e-13,6476.865726771161,6777.93445058951
2025-02-11,1,89266.2436356457,2.6132814987499253e-13,89266.2436356457,56334.764967041665,1.2981498049229696e-12,56334.764967041665,23593.62724303168,15843.15146911309,6295.170728393781,0,0,6.237618386216448e-14,0,2.6645352591003757e-14,6777.93445058951,10408.697336970139
2025-02-12,1,84614.79679470972,7.460698725481052e-13,84614.79679470972,53960.265195457534,3.3944544952646536e-12,53960.265195457534,19974.082771862893,16202.496803881666,5576.47469339516,0,0,5.044853423896711e-13,0,1.3500311979441904e-13,10408.697336970139,10382.597605111552
2025-02-13,1,84452.411488103,29.596599285714387,84482.0080873887,53340.20876176824,65.70805019809612,53405.91681196634,18558.584293126587,14910.24458129365,9504.189358889103,3,1,1.9094101300076716e-13,0,0.0,10382.597605111552,10518.385045265873
2025-02-14,1,37428.23985880833,30.799438988273945,37459.039297796604,19475.03647290489,87.40574304850688,19562.442215953397,18588.680095644715,15402.467048314504,4471.024433799728,2,1,5.4918309483342753e-14,0,2.842170943040401e-14,10518.385045265873,10134.344855441117
2025-02-15,1,37129.472506362785,178.44015656906,37307.91266293184,19287.306476561982,657.4484956996026,19944.754972261588,18594.837049521506,15190.03593204441,4623.020445454745,6,1,8.506742402505929e-14,0,1.4210854715202004e-14,10134.344855441117,9991.88049773891
2025-02-16,1,81142.93191142882,394.93248190906786,81537.86439333789,50589.157723011696,1686.6977833959363,52275.85550640763,22151.39025135768,17852.997467019006,1862.0925089992097,10,1,4.3628463472153434e-13,0,9.836575998178887e-14,9991.88049773891,10091.467871717492
2025-02-17,1,80523.42599620116,57.460768218253136,80580.88676441941,50178.53687240061,153.8409423484133,50332.37781474902,19624.269169293337,15956.129013934615,5728.883442394019,4,1,3.907985046680551e-14,0,8.704148513061227e-14,10091.467871717492,10024.277886376367
2025-02-18,1,80012.60697754256,106.22538421242943,80118.83236175499,49725.67052722804,447.6819957158337,50173.35252294387,20832.774584577022,16724.22437574464,3918.8943695892804,3,1,5.826450433232822e-13,0,5.240252676230739e-14,10024.277886376367,10191.30348389052
2025-02-19,1,78856.17021375045,894.0528179291172,79750.22303167956,48978.073087515324,3606.0444708271907,52584.117558342514,21074.61582814621,17549.57420809004,3345.854028290063,12,1,3.2591746142174305e-13,0,4.263256414560601e-14,10191.30348389052,9658.930831344293
2025-02-20,1,78578.95182061933,358.905662673635,78937.85748329297,48758.25572822888,1538.710083933031,50296.965812161914,20944.020942167634,16573.935123201736,3574.6379309937383,9,1,5.642656480953079e-13,0,3.375077994860476e-14,9658.930831344293,10093.066209071012
2025-02-21,1,35659.79820487736,339.52841401165045,35999.32661888901,18370.74422227424,1034.8330075148317,19405.577229789073,18779.234416665196,15206.340306190355,6866.170475080838,10,1,2.930988785010413e-14,0,4.263256414560601e-14,10093.066209071012,10098.44351052485
2025-02-22,1,35268.33706391956,583.4453102021017,35851.782374121656,18146.05975451698,2385.1893711574853,20531.249125674465,19100.59040905137,15438.861124581455,4345.29020631841,12,1,0.0,0,2.842170943040401e-14,10098.44351052485,10134.68474024724
2025-02-23,1,76004.74348740856,857.582436377458,76862.32592378602,47063.51681043341,3521.734437834646,50585.251248268054,20805.29166227064,17185.50524582305,1710.6858240050924,14,1,1.0054464856176781e-12,0,2.6645352591003757e-14,10134.68474024724,9764.441407598535
2025-02-24,1,75238.91720391477,907.1601017527759,76146.07730566754,46508.6743495255,3765.8386750926024,50274.5130246181,19489.44038801368,15783.560533026153,4237.163834013342,18,1,5.591117846481808e-13,0,1.5409895581797173e-13,9764.441407598535,9767.648275670676
2025-02-25,1,74837.60583608483,1183.1058200350967,76020.71165611992,46178.67519542788,4678.1699560173065,50856.84515144519,18511.51603157978,15069.66349677275,6757.535887979561,18,1,1.1368683772161603e-13,0,7.638334409421077e-14,9767.648275670676,9683.942152122761
2025-02-26,1,73943.38203922147,1621.3058024927454,75564.68784171421,45621.75627843788,6795.018666279722,52416.7749447176,19328.822499004433,15378.377672432107,2799.3949818085557,29,1,5.684341886080801e-13,0,4.263256414560601e-14,9683.942152122761,9992.79609852441
2025-02-27,1,73224.34744799961,1493.6873630637363,74718.03481106335,45181.17260908068,6384.0443724292045,51565.21698150988,20833.019231344562,16939.83957727377,3868.2709569925546,11,1,2.6428512156506656e-13,0,1.5987211554602254e-13,9992.79609852441,9920.46943198588
2025-02-28,1,33429.89505289485,599.9575192669975,34029.85257216184,17149.26435726028,1422.3986677475632,18571.66302500784,19654.68698916038,16051.533609266724,7134.105642268195,18,1,1.687538997430238e-14,0,4.263256414560601e-14,9920.46943198588,9774.650378600536
2025-03-01,1,33140.879731607136,822.2598653029962,33963.13959691013,16981.724896121195,2619.0839316394868,19600.80882776068,18646.541099771923,15093.473999756534,6751.30656356141,22,1,0.0,0,2.5757174171303632e-14,9774.650378600536,9786.010701999117
2025-03-02,1,71618.03637691367,4712.468073396614,76330.50445031028,44015.165824177755,24662.37721233201,68677.54303650977,18991.07670659601,15478.373591491976,459.49426853958136,51,1,7.105427357601002e-13,0,0.0,9786.010701999117,9679.786858500003
2025-03-03,1,72036.31297754403,4157.117949266961,76193.430926811,44312.9742792092,18956.746269796284,63269.720549005484,20391.42943164488,16508.503144952927,293.35800678571434,45,1,1.1943228524213811e-12,0,1.0658141036401503e-13,9679.786858500003,9689.292074810475
2025-03-04,1,73333.40790335173,363.71171346519236,73697.11961681693,45171.642267552736,1016.9836975570279,46188.625965109764,21816.88515827975,17665.39618332293,346.17270852677837,20,1,1.0305645226083016e-12,0,5.861977570020827e-14,9689.292074810475,9696.270735792332
2025-03-05,1,74325.71192682865,389.93623870800707,74715.64816553665,45767.53798423288,1494.1250250810756,47261.66300931395,19834.962566206952,16021.631034911308,4771.844617574345,14,1,3.415672692602678e-13,0,3.375077994860476e-14,9696.270735792332,9745.924784366023
2025-03-06,1,74226.98958145513,381.79664679750016,74608.78622825263,45801.49269212486,1441.8261864751503,47243.31887860002,19531.167834975848,15741.565076376102,4878.529336319543,19,1,2.907656754258525e-13,0,1.7053025658242404e-13,9745.924784366023,9833.347973204174
2025-03-07,1,32947.536291003016,601.8462314375878,33549.3825224406,16919.727249934414,1536.9145151258988,18456.641765060314,17899.105119088657,14367.930083799218,9095.921953817831,15,1,8.526512829121202e-14,0,5.684341886080802e-14,9833.347973204174,9978.175820607057
2025-03-08,1,32019.92182580697,703.6689704761902,32723.590796283162,16477.854818137443,1628.126935348571,18105.981753486016,18924.58374274908,15297.083662564453,10032.951199431867,16,1,1.0658141036401503e-14,0,0.0,9978.175820607057,10013.541564009618
2025-03-09,1,72237.24964732947,722.3502236237961,72959.59987095327,44364.8058781518,2499.46534841953,46864.27122657133,19864.31611529165,16180.409891516252,5942.168597177873,25,1,5.115907697472721e-13,0,1.5276668818842154e-13,10013.541564009618,9913.19285497627
2025-03-10,1,71166.25130505106,646.5776087079918,71812.82891375905,43644.87267640401,2081.1246632323873,45725.9973396364,20740.172414244793,16997.884709537597,28.46975905186374,30,1,7.958078640513122e-13,0,6.039613253960852e-14,9913.19285497627,9692.809461643701
2025-03-11,1,70762.39238515009,869.6089697705329,71632.00135492062,43255.94750348915,3063.9973416065122,46319.94484509566,19841.155456968714,15783.913609169102,3635.8407071210095,33,1,4.511946372076636e-13,0,1.2612133559741778e-13,9692.809461643701,10012.16758494988
2025-03-12,1,70075.58089726056,800.0456945442373,70875.6265918048,42877.06698230727,2613.288335049919,45490.35531735719,19291.52481795711,15909.324884453716,5057.891974968069,25,1,1.7053025658242404e-13,0,1.6697754290362354e-13,10012.16758494988,9697.51227171826
2025-03-13,1,69474.15935158606,1843.8634110632472,71318.0227626493,42549.190349736076,8337.899270103682,50887.08961983976,20069.851009100337,16297.446263117707,1.2545797734020425e-12,44,1,1.3362453504806027e-12,0,1.7763568394002505e-14,9697.51227171826,9652.104554222224
2025-03-14,1,31409.60791372951,849.970038565433,32259.57795229494,16124.994934282186,2093.0324691438345,18218.02740342602,19088.8007999275,15041.86911229648,12183.220281330588,18,1,7.260858581048524e-14,0,0.0,9652.104554222224,10118.837371605334
2025-03-15,1,30804.183939010585,793.4374233333335,31597.621362343918,15852.569458235359,1703.228098498334,17555.797556733694,19336.789918539638,16038.160131941797,7374.866425746076,16,1,1.6614487563515468e-13,0,1.0125233984581428e-13,10118.837371605334,9701.770373911237
2025-03-16,1,68848.7984337492,1439.6649498903446,70288.46338363954,42030.28269584302,5049.363367866047,47079.64606370907,19517.20707664363,15493.949600344407,2914.1589740069817,29,1,3.9229036685739516e-14,0,0.0,9701.770373911237,10051.75718695228
