variant,date,days,purchase_kwh,emergency_kwh,actual_grid_kwh,planned_cost_yuan,emergency_cost_yuan,total_cost_yuan,charge_kwh,discharge_kwh,curtailment_kwh,emergency_intervals,emergency_days,emergency_while_charging_kwh,emergency_while_charging_intervals,waste_while_discharging_kwh,soc_start_kwh,soc_end_kwh
greedy_closed,2025-03-20,1,65969.24672685955,176.2581767378967,66145.50490359745,40397.46519445835,1141.2097749882657,41538.67496944662,20795.535134645852,17371.412278689,512.4202309739284,3,1,4.782840790085174e-13,0,2.2382096176443156e-13,10380.152784362075,9794.565207000001
greedy_closed,2025-06-21,1,36166.83900480859,1.0384184831457866e-13,36166.83900480859,21588.74905322437,6.035231383660217e-13,21588.74905322437,16837.800105943053,13123.524317857804,13117.822816723341,0,0,4.699842945377064e-14,0,4.618527782440651e-14,9278.712364747218,9851.038773587306
greedy_closed,2025-09-23,1,64647.3042933141,86.3870492619083,64733.69134257601,41980.72151952229,601.1602431510695,42581.88176267336,18177.408367956952,15645.749637761899,85.41702904761948,2,1,6.039613253960852e-13,0,1.1368683772161603e-13,7486.598554039213,6462.099821020578
greedy_closed,2025-12-21,1,96458.55141955335,1.0989675424018241e-12,96458.55141955335,62354.118942662295,4.102117692864104e-12,62354.118942662295,23567.06734700771,18947.332281165767,2801.0344870447448,0,0,7.01063610376168e-13,0,2.7711166694643907e-13,10133.787562223117,10291.556751012538
dp_fixed,2025-03-20,1,65969.24672685955,176.2581767378973,66145.50490359745,40397.46519445835,1052.5495267171673,41450.01472117552,20795.535134645852,17371.412278689,512.4202309739284,8,1,4.782840790085174e-13,0,1.8118839761882555e-13,10380.152784362075,9794.565207000001
dp_fixed,2025-06-21,1,36166.83900480859,1.0384184831457866e-13,36166.83900480859,21588.74905322437,6.035231383660217e-13,21588.74905322437,16837.800105943053,13123.524317857804,13117.822816723341,0,0,4.699842945377064e-14,0,4.618527782440651e-14,9278.712364747218,9851.038773587306
dp_fixed,2025-09-23,1,64647.3042933141,86.3870492619083,64733.69134257601,41980.72151952229,601.1602431510695,42581.88176267336,18177.408367956952,15645.749637761899,85.41702904761948,2,1,6.039613253960852e-13,0,1.1368683772161603e-13,7486.598554039213,6462.099821020578
dp_fixed,2025-12-21,1,96458.55141955335,1.0989675424018241e-12,96458.55141955335,62354.118942662295,4.102117692864104e-12,62354.118942662295,23567.06734700771,18947.332281165767,2801.0344870447448,0,0,7.01063610376168e-13,0,2.7711166694643907e-13,10133.787562223117,10291.556751012538
dp_closed,2025-03-20,1,65969.24672685955,176.2581767378973,66145.50490359745,40397.46519445835,1052.5495267171673,41450.01472117552,20795.535134645852,17371.412278689,512.4202309739284,8,1,4.782840790085174e-13,0,1.8118839761882555e-13,10380.152784362075,9794.565207000001
dp_closed,2025-06-21,1,36166.83900480859,1.0384184831457866e-13,36166.83900480859,21588.74905322437,6.035231383660217e-13,21588.74905322437,16837.800105943053,13123.524317857804,13117.822816723341,0,0,4.699842945377064e-14,0,4.618527782440651e-14,9278.712364747218,9851.038773587306
dp_closed,2025-09-23,1,64647.3042933141,86.3870492619083,64733.69134257601,41980.72151952229,601.1602431510695,42581.88176267336,18177.408367956952,15645.749637761899,85.41702904761948,2,1,6.039613253960852e-13,0,1.1368683772161603e-13,7486.598554039213,6462.099821020578
