date,days,purchase_kwh,emergency_kwh,actual_grid_kwh,planned_cost_yuan,emergency_cost_yuan,total_cost_yuan,charge_kwh,discharge_kwh,curtailment_kwh,emergency_intervals,emergency_days,emergency_while_charging_kwh,emergency_while_charging_intervals,waste_while_discharging_kwh,soc_start_kwh,soc_end_kwh
2025-02-01,1,50549.81748094104,288.1869785714286,50838.00445951247,29052.093774647376,1635.8333497357144,30687.92712438309,13265.41232949236,11272.3977191505,14466.813915837276,19,1,0.0,0,350.2259654761902,6000.0,5413.984741931454
2025-02-02,1,97731.16594050622,375.67120535714315,98106.83714586336,65267.775209327105,2137.7692018750017,67405.5444112021,16739.426967560496,13656.126779677988,16667.259007980858,20,1,0.0,0,360.2291202380951,5413.984741931454,5305.994813093696
2025-02-03,1,97504.79637967693,427.4426704761903,97932.23905015312,64867.18825038272,2306.705875085237,67173.89412546797,17278.720298540276,13722.330471070993,14158.932722683836,21,1,8.953214523809493,1,408.68611428571415,5305.994813093696,5609.809225034402
2025-02-04,1,97248.20071901068,426.756446031746,97674.95716504243,64643.75873208341,2330.1729344630953,66973.9316665465,18180.195114398673,14655.23981773725,12955.137918380997,22,1,10.245972222222235,1,385.8256172619054,5609.809225034402,5688.385030507375
2025-02-05,1,96130.16296240746,357.3751936111114,96487.53815601856,63767.94466077146,1855.3425450955574,65623.28720586702,18433.64313749386,14927.29437579975,12232.762410991118,21,1,0.36374456349197715,1,295.38162761904755,5688.385030507375,5692.781214474353
2025-02-06,1,94369.1104545116,461.2273385714276,94830.33779308302,62629.789246633576,2493.8147428730904,65123.60398950667,18460.431681054855,14943.079688492064,11041.928583853563,22,1,0.0,0,473.9283514285712,5692.781214474353,5703.747851321428
2025-02-07,1,41612.67911346889,366.9144023809522,41979.59351584984,22997.893819705187,2089.064372732381,25086.958192437567,16590.482602764987,14183.898921666665,7767.330168084853,23,1,0.0,0,259.2916814285717,5703.747851321428,4875.29450306918
2025-02-08,1,41018.02580985561,361.3665808348028,41379.39239069041,22438.68043659371,1918.7297776431383,24357.410214236847,17219.805025956066,13790.175603045269,6372.600251112949,22,1,0.0,0,494.5749857142858,4875.29450306918,5050.701689712667
2025-02-09,1,87243.38737165602,477.11270265872975,87720.50007431475,55766.57647069522,2278.6892774394246,58045.26574813464,21261.081187163934,17163.991447494012,4067.994367978163,29,1,48.71754265872937,4,415.35638952381,5050.701689712667,5114.573149833526
2025-02-10,1,87855.38485670497,401.8100679365073,88257.19492464147,56041.80218464964,2224.33850754603,58266.14069219567,19635.72278949174,14829.954038598655,9124.788590415064,24,1,0.9633060317459012,1,463.8897823809518,5114.573149833526,6308.99695082203
2025-02-11,1,89787.285302054,399.39441908252843,90186.67972113653,56557.333587624045,2129.7088991981836,58687.042486822225,23597.15776422124,15857.821178443259,7226.746002025219,25,1,0.0,0,446.39051285714226,6308.99695082203,9926.637629239747
2025-02-12,1,85101.23192995494,607.525810357143,85708.75774031208,54163.904886428,3043.8182851489887,57207.72317157699,19914.380982141312,16201.749841183253,6729.390466020684,36,1,99.30126511904766,9,703.1538585714284,9926.637629239747,9847.636245185533
2025-02-13,1,84973.98092161029,343.72950941269863,85317.71043102299,53566.81130390979,1488.2195190050293,55055.03082291482,18991.37252187014,15082.758261849205,10079.617154335388,29,1,139.85502242857206,11,492.2097604761888,9847.636245185533,10181.251223925088
2025-02-14,1,37731.66029801504,694.3683431008342,38426.028641115874,19609.674490768633,2795.4906427344804,22405.165133503113,18503.05627050715,15182.923739034919,5304.094292976975,51,1,213.1349607460306,17,685.1677652380952,10181.251223925088,9964.086601787172
2025-02-15,1,37271.77392066306,642.987263166667,37914.76118382972,19350.474074369875,2747.7856971828996,22098.259771552777,18451.385393550514,15252.317777909608,5435.6024681888175,46,1,191.81779697619046,14,626.381353333333,9964.086601787172,9623.31370274974
2025-02-16,1,81396.34770323634,966.5717017658736,82362.91940500222,50698.47716542085,4161.543566332716,54860.02073175357,22361.656585274177,18112.639795772575,2736.5235155006203,55,1,420.66553303571504,25,588.1476185714289,9623.31370274974,9623.649300860301
2025-02-17,1,80990.74851176051,511.50688985356436,81502.25540161408,50380.53267606908,2453.91203778919,52834.44471385827,19923.16417781899,15953.005448886493,6348.233506014907,38,1,100.95706445277132,12,549.8021861904763,9623.649300860301,9828.935451023517
2025-02-18,1,80203.68265995843,732.5554237857159,80936.23808374415,49808.47685176513,3243.646515871551,53052.12336763668,20996.17402170834,16860.16719133723,4708.843470039701,47,1,330.12333640476265,20,673.3241742857148,9828.935451023517,9991.972969075214
2025-02-19,1,79035.50651883819,959.770298801438,79995.27681763962,49060.176529955825,3982.2100930847123,53042.38662304053,22277.069429572468,18420.567896454028,3259.447901187847,57,1,418.8552272278526,19,891.4560309523805,9991.972969075214,9574.037792963736
2025-02-20,1,78673.27741881995,824.1914708571409,79497.4688896771,48798.296944665046,3672.8447381021256,52471.14168276717,21294.28466801556,16951.79067161366,4161.8411599418605,44,1,293.01584673015725,15,722.3154119047606,9574.037792963736,9903.571025718109
2025-02-21,1,35800.904021901326,945.775663265874,36746.6796851672,18433.141214562234,3535.9603940741517,21969.10160863639,18974.464480794184,15406.66199250344,7618.615163543121,51,1,350.1749549325397,18,825.8161566666666,9903.571025718109,9862.075733429057
2025-02-22,1,35384.98814734967,1020.427397703214,36405.415545052885,18197.02935872178,4160.498350831156,22357.527709552935,19329.863844599735,15884.45523798193,5115.244055101747,52,1,396.61270571825344,17,737.1580309523808,9862.075733429057,9609.558484700001
2025-02-23,1,76109.5742965647,1761.6664722281,77871.24076879279,47111.28999887278,8325.995130594265,55437.28512946705,21687.811111575254,17617.095865095955,2268.6718389801595,64,1,617.7409093531758,27,863.2031642857138,9609.558484700001,9554.037523900002
