variant,date,days,purchase_kwh,emergency_kwh,actual_grid_kwh,planned_cost_yuan,emergency_cost_yuan,total_cost_yuan,charge_kwh,discharge_kwh,curtailment_kwh,emergency_intervals,emergency_days,emergency_while_charging_kwh,emergency_while_charging_intervals,waste_while_discharging_kwh,soc_start_kwh,soc_end_kwh
greedy_closed,2025-03-20,1,66296.12974399971,2258.8639610894816,68554.99370508919,40520.345380778665,12629.349566888695,53149.69494766736,19442.619463369192,16236.142064137146,3139.554489190475,60,1,244.66018780952203,11,866.1952880952377,10084.021048408995,9542.2207164
greedy_closed,2025-06-21,1,37339.96940740611,531.5327233333336,37871.50213073944,22101.70933826978,2558.8447066852395,24660.554044955017,15027.69348303366,12045.359515736473,15554.427763442261,25,1,0.0,0,706.5812385714283,7975.234139638859,8116.425479106405
greedy_closed,2025-09-23,1,65817.08829103014,3224.1034606992944,69041.19175172944,42480.27348242616,17122.41489938539,59602.688381811546,17431.744773514565,13986.382213610228,3479.2136084917756,61,1,959.6022936666677,28,672.6102138095247,6433.792956094765,6581.938570468726
greedy_closed,2025-12-21,1,97412.2797243893,1760.9145112359993,99173.1942356253,62757.70348873133,10853.733082669109,73611.43657140044,21988.171726374538,17699.50450300038,5846.745145584468,38,1,24.055178333333288,1,642.5751233333342,9335.0769906,9458.315429892222
dp_fixed,2025-03-20,1,66296.12974399971,2086.6414134515435,68382.77115745127,40520.345380778665,10030.929259091505,50551.27463987017,19442.619463369192,16236.142064137144,2967.3319415525348,67,1,244.66018780952203,11,686.5527404572975,10084.021048408995,9542.2207164
dp_fixed,2025-06-21,1,37339.96940740611,531.5327233333336,37871.50213073944,22101.70933826978,2558.8447066852395,24660.554044955017,15027.69348303366,12045.359515736473,15554.427763442261,25,1,0.0,0,706.5812385714283,7975.234139638859,8116.425479106405
dp_fixed,2025-09-23,1,65817.08829103014,3038.625259746914,68855.71355077706,42480.27348242616,15421.626068156276,57901.899550582435,17431.744773514565,13986.382213610228,3293.7354075393946,68,1,959.6022936666677,28,468.4345366666671,6433.792956094765,6581.938570468726
dp_fixed,2025-12-21,1,97412.2797243893,1669.3370698148335,99081.61679420414,62757.70348873133,8988.921153197365,71746.62464192869,21988.171726374538,17675.069785600375,5730.7329867633025,40,1,24.055178333333288,1,482.93220165502595,9335.0769906,9485.465115892222
dp_closed,2025-03-20,1,66296.12974399971,2086.6414134515435,68382.77115745127,40520.345380778665,10030.929259091505,50551.27463987017,19442.619463369192,16236.142064137144,2967.3319415525348,67,1,244.66018780952203,11,686.5527404572975,10084.021048408995,9542.2207164
dp_closed,2025-06-21,1,37339.96940740611,531.5327233333336,37871.50213073944,22101.70933826978,2558.8447066852395,24660.554044955017,15027.69348303366,12045.359515736473,15554.427763442261,25,1,0.0,0,706.5812385714283,7975.234139638859,8116.425479106405
dp_closed,2025-09-23,1,65817.08829103014,3038.625259746914,68855.71355077706,42480.27348242616,15421.626068156276,57901.899550582435,17431.744773514565,13986.382213610228,3293.7354075393946,68,1,959.6022936666677,28,468.4345366666671,6433.792956094765,6581.938570468726
dp_closed,2025-12-21,1,97412.2797243893,1669.3370698148335,99081.61679420414,62757.70348873133,8988.921153197365,71746.62464192869,21988.171726374538,17675.069785600375,5730.7329867633025,40,1,24.055178333333288,1,482.93220165502595,9335.0769906,9485.465115892222
