date,days,purchase_kwh,emergency_kwh,actual_grid_kwh,planned_cost_yuan,emergency_cost_yuan,total_cost_yuan,charge_kwh,discharge_kwh,curtailment_kwh,emergency_intervals,emergency_days,emergency_while_charging_kwh,emergency_while_charging_intervals,waste_while_discharging_kwh,soc_start_kwh,soc_end_kwh
2025-02-01,1,50549.81748094104,857.798324404762,51407.615805345806,29052.093774647376,3449.3011545443455,32501.394929191723,14360.977254056435,11272.3977191505,13940.860337106533,43,1,569.6113458333334,24,350.2259654761902,6000.0,6399.993174039125
2025-02-02,1,97499.27875574962,623.5210844807023,98122.79984023032,65491.70728924182,2838.978240576708,68330.68552981853,17004.973821530373,13336.916874916084,16098.464943616023,38,1,257.46255829022607,19,360.2291202380952,6399.993174039125,6885.6730857319235
2025-02-03,1,96869.3439334965,869.2669274094112,97738.6108609059,65046.06860269241,3675.812980263625,68721.88158295603,16846.161619568356,13225.55357666623,13901.086318003783,44,1,452.7092339570307,25,408.68611428571444,6885.6730857319235,7352.159013714295
2025-02-04,1,96648.4180133169,711.5390827380953,97359.95709605499,64933.118042239774,3104.172039982144,68037.29008222192,17409.83424071617,14051.016112022964,12806.275017361786,37,1,302.1561089285715,17,385.8256172619056,7352.159013714295,7408.769705888886
2025-02-05,1,95531.12759597244,756.5371679761903,96287.66476394863,64080.03485775139,3003.3550115045855,67083.38986925597,17511.60731642685,14298.282776633081,12325.91324082153,41,1,401.91495226190403,22,257.7408309523812,7408.769705888886,7282.235427747399
2025-02-06,1,93893.45416297346,823.0407738095232,94716.49493678298,62984.715629408085,3624.5949383169,66609.31056772498,17544.833087839066,14305.653737605156,11206.258369882406,39,1,376.40741761904803,19,466.31246809523805,7282.235427747399,7177.414387241274
2025-02-07,1,41193.466212759886,777.2433256349212,41970.7095383948,23369.23193769207,3015.1175260765494,26384.34946376862,15858.223715466342,13720.272053099647,8027.078209361443,52,1,422.1944106349211,30,259.29168142857174,7177.414387241274,6205.06900549471
2025-02-08,1,40848.9594798634,1021.829023992063,41870.78850385546,22948.39798169271,3816.5123923466526,26764.910374039362,16635.257204409736,13324.100832048794,6982.469414827852,54,1,662.0083938730155,33,459.4476319047619,6205.06900549471,6372.24400940926
2025-02-09,1,87152.16785301137,996.3860161428563,88148.55386915423,56310.71148430408,3728.998567330974,60039.710051635055,21069.06601738933,16502.152168581313,4026.2240536795425,59,1,673.9807175714274,37,411.3303619047626,6372.24400940926,6998.678793302649
2025-02-10,1,87185.40016147854,774.7999983809513,87960.2001598595,56351.27326809319,3255.168796280187,59606.442064373376,17898.003543906663,14252.49111346194,9988.050146081432,50,1,470.5834542857133,32,417.88657952380873,6998.678793302649,7270.780745638713
2025-02-11,1,90089.6976954623,689.4069036507931,90779.10459911308,57266.459427465794,2878.578408599997,60145.037836065785,22670.898492606517,15187.130450086119,8074.739423259351,46,1,349.727097936508,27,413.46075619047554,7270.780745638713,10800.0
2025-02-12,1,85509.22417940745,737.7073145978857,86246.93149400533,54913.82893037702,3432.230463308487,58346.05939368551,19250.390793350394,15592.816542613815,7322.621109935428,42,1,309.1784200520315,20,703.1538585714287,10800.0,10800.0
2025-02-13,1,85380.53003129402,524.8772288566552,85905.40726015068,54345.109993063874,2209.583718783419,56554.69371184729,18025.705698708818,14600.821615954144,11151.04416072934,39,1,305.4632449518938,21,518.4623980952362,10800.0,10800.0
2025-02-14,1,38560.0843963012,1107.88526494898,39667.96966125018,20537.28101292297,4196.682121645954,24733.963134568923,18461.90093216262,15099.55935219286,6503.826264613753,61,1,710.8022647259634,34,515.0615228571428,10800.0,10638.422669843181
2025-02-15,1,38092.96471170689,1086.4353038095242,39179.40001551641,20278.39133791079,4136.1937684630975,24414.58510637389,18443.927061630577,15223.579567461016,6678.961421346849,58,1,655.4446623809521,27,546.7499890476188,10638.422669843181,10322.868617020686
2025-02-16,1,82159.14027113433,1160.070806762788,83319.21107789711,51610.81726173357,4579.630219038115,56190.44748077169,21746.043688008034,17414.20231166387,3609.990601552952,61,1,569.0401705723118,32,691.0548557142857,10322.868617020686,10545.194256601397
2025-02-17,1,81520.98366006959,710.0039473843971,82230.98760745398,51207.562707912846,2973.416452403076,54180.979160315925,18806.009821942745,15302.772866217447,7543.887485062026,48,1,327.7804186939215,22,541.8445238095237,10545.194256601397,10467.522133886045
2025-02-18,1,81095.39403484167,900.4854594347443,81995.8794942764,50812.49537089209,3875.7694928481237,54688.26486374021,20205.924406201924,16202.575122363809,5901.142427104958,50,1,537.2280731810695,24,671.633855714286,10467.522133886045,10649.992852396874
2025-02-19,1,79931.95659269972,1012.2038578694032,80944.16045056912,50080.18821006653,4081.521471947541,54161.70968201407,21224.713534490562,17589.235253646184,4429.354786391402,56,1,465.32529694876825,20,761.422453809524,10649.992852396874,10208.640307164855
2025-02-20,1,79476.32119513108,1001.7655107777764,80478.08670590886,49780.81286866873,4097.658391732613,53878.47126040134,20434.99672969696,16198.69590717842,5248.652150056989,56,1,532.2208128571427,32,645.7288895238078,10208.640307164855,10601.586355916093
2025-02-21,1,36776.23301989561,1260.5759440038337,38036.80896389944,19482.86055509051,4664.522836949677,24147.38339204019,18862.73500360617,15290.951764989448,8904.763691949389,61,1,929.0900147619044,36,798.1462985714287,10601.586355916093,10588.101453617823
2025-02-22,1,36377.785348544865,1273.627424761904,37651.41277330677,19256.173265738475,4934.54019290214,24190.713458640614,19002.061554174295,15697.54717329551,6502.135509094648,59,1,778.8061438095232,29,643.8692990476196,10588.101453617823,10248.237770935228
2025-02-23,1,77139.297850002,1319.5932727225165,78458.89112272451,48214.58328278169,4913.17682967053,53127.760112452226,21233.22267297194,17163.829201403627,2857.64396782286,65,1,708.2464024285708,33,914.1863447619043,10248.237770935228,10287.216841717058
2025-02-24,1,76463.5368803007,990.0822432623959,77453.6191235631,47732.6796140723,3955.339584273492,51688.01919834579,19333.53978387553,15792.269219654687,5709.314942675584,63,1,602.5563490793658,34,649.9354876190482,10287.216841717058,10140.436847588713
2025-02-25,1,76191.30825969928,915.3891046205182,77106.6973643198,47441.26600187375,3504.8251499690023,50946.09115184275,19441.89155986919,15697.652165680862,7541.134736798134,54,1,495.4443880238097,27,727.8834538095248,10140.436847588713,10196.303511825583
2025-02-26,1,75157.31477187248,1170.9438066666658,76328.25857853914,46811.0773205394,4806.599351367271,51617.67667190667,20058.820187967176,16383.480663183076,3838.071020421719,66,1,597.1660117142856,36,808.2057819047625,10196.303511825583,10045.374277459288
2025-02-27,1,74736.55490585345,747.3593579596604,75483.91426381312,46522.657402852565,2869.6435801324283,49392.30098298499,22035.34178533438,17499.292595748757,3991.2808742274906,54,1,361.1705104761902,26,546.369146666666,10045.374277459288,10433.5234445394
2025-02-28,1,34709.79956992476,1329.3953001221807,36039.194870046944,18375.214385022504,5209.622996880041,23584.837381902547,19978.277552775235,16246.08359163486,9014.40735890657,58,1,850.6330310745618,29,681.1840542857153,10433.5234445394,10362.769251331714
2025-03-01,1,34378.987021368725,1326.653867833332,35705.640889202055,18202.015353419774,5552.949793082996,23754.96514650277,18868.464763395546,15631.963965668316,8810.374158141489,61,1,745.9919383095233,30,713.0980119047613,10362.769251331714,9975.538687645132
2025-03-02,1,73133.3134216703,4325.023253643439,77458.33667531374,45368.49295283763,20898.15462450392,66266.64757734154,19343.46614168489,15807.526560775375,1564.0900277375601,85,1,788.0977928571427,37,292.16174884857173,9975.538687645132,9820.739814300001
2025-03-03,1,73805.0986697117,3647.787681631024,77452.88635134273,45818.9374952487,17453.218836461012,63272.15633170971,20926.24991111886,16931.730523191272,1441.2203300818119,86,1,727.72986047619,36,498.32247809523807,9820.739814300001,9841.33081965
2025-03-04,1,75212.85395175492,1132.6626611666652,76345.51661292158,46791.75750707194,4092.831008149743,50884.58851522169,21456.475506075833,16972.826476685947,2662.409650198359,68,1,747.3296344761903,38,571.8558147619034,9841.33081965,10293.462689911645
2025-03-05,1,75771.5616622766,884.3700936481505,76655.93175592474,47244.403385322694,3479.9128331486017,50724.31621847129,19558.217932657455,15801.004435656007,6768.246242256634,49,1,636.317858243388,31,613.5601995238112,10293.462689911645,10339.187234130011
2025-03-06,1,75779.22008241757,1081.8449613727732,76861.06504379034,47323.74428387881,4489.180665379635,51812.92494925844,18880.525735342202,15246.80743009773,7286.6926052125345,59,1,633.7881613692459,38,771.146264285714,10339.187234130011,10390.76325138497
2025-03-07,1,34527.87929039485,1008.9604485714277,35536.83973896628,18455.65716996909,4085.723338575948,22541.380508545037,18379.34807259719,14724.458439116148,10959.664572151903,52,1,624.9882952380949,27,581.5015738095235,10390.76325138497,10571.66713992672
2025-03-08,1,33653.16775327412,787.7341105075869,34440.90186378171,18053.209285441473,3043.2548672404046,21096.46415268188,19548.813128013124,15672.564271526106,11501.513490628022,59,1,471.8970066980631,29,486.59460619047616,10571.66713992672,10751.638653442858
2025-03-09,1,73696.57101525359,825.0821237142849,74521.65313896787,45888.40820262925,3555.5579172798984,49443.96611990916,18951.028092745917,15704.912567078794,7942.012563300747,55,1,457.8549356190482,32,578.3160233333335,10751.638653442858,10357.661084604413
2025-03-10,1,72816.13110475332,1563.4175376190485,74379.54864237238,45231.3245271128,5961.324938447668,51192.64946556047,20424.75841654919,16602.59424793643,2515.3130237596133,60,1,956.966971904763,33,805.9166066666662,10357.661084604413,10292.616717347091
2025-03-11,1,72517.15898402048,1241.6860338095244,73758.84501783001,44925.533063963885,5105.646908686813,50031.1799726507,19409.09052762568,15677.017316507658,6087.853006711984,58,1,767.2236787619053,31,814.6453980952392,10292.616717347091,10341.89006275725
2025-03-12,1,71973.63609992816,1085.4025928571416,73059.0386927853,44615.55911547518,4036.3236327364225,48651.8827482116,19463.800993596204,15855.376589968853,7015.079605824622,59,1,696.6990176190474,33,742.5102514285707,10341.89006275725,10242.225857028436
2025-03-13,1,71246.2919099831,1349.0150142857121,72595.30692426882,44239.85357720352,5504.328952809515,49744.18253001303,20612.729677394516,16955.79622626973,1392.7554564773682,66,1,732.5906147619044,33,815.8003466666667,10242.225857028436,9953.908981939365
2025-03-14,1,33673.1875870329,859.6251261904767,34532.81271322338,18090.589956247433,3137.081332901193,21227.671289148624,19507.07861803301,15039.25176435217,14035.559876209205,54,1,412.1525709523812,27,554.5096442857147,9953.908981939365,10800.0
2025-03-15,1,32562.48841317676,1102.5307390476146,33665.01915222438,17579.75132328132,4205.380502332363,21785.131825613684,19847.74380006576,16305.998496806782,9199.1486989654,58,1,632.9938219047623,25,542.9267400000001,10800.0,10545.193312496094
