date,days,purchase_kwh,emergency_kwh,actual_grid_kwh,planned_cost_yuan,emergency_cost_yuan,total_cost_yuan,charge_kwh,discharge_kwh,curtailment_kwh,emergency_intervals,emergency_days,emergency_while_charging_kwh,emergency_while_charging_intervals,waste_while_discharging_kwh,soc_start_kwh,soc_end_kwh,v2b_total_cost_yuan,difference_vs_v2b_yuan
2025-02-01,1,47108.69673477165,906.1027439656418,48014.79947873729,24536.508708154528,3743.354822634201,28279.863530788727,19577.030738418965,14778.92715750194,8838.519964486934,42,1,519.3523496135554,21,509.8348009897917,5999.999999999998,7198.297489574913,24837.681053606968,3442.182477181759
2025-02-02,1,92642.0658755059,491.4915571631379,93133.55743266904,58510.15623006874,2487.2597831824605,60997.4160132512,21533.249349220256,17613.232866557108,10857.263000005885,36,1,119.92487019532635,14,509.8207011956466,7198.297489574913,7007.963163254137,58603.791989630314,2393.6240236208832
2025-02-03,1,91386.15482736447,669.4680146819414,92055.62284204642,57563.479479039546,3038.3271372050754,60601.80661624462,21946.770132432994,17831.817788786346,7723.753998399765,39,1,188.74038457570356,13,516.3483211221403,7007.963163254137,6946.925406014552,57884.221926939535,2717.584689305084
2025-02-04,1,91138.6012547946,699.0039453957969,91837.6052001904,57297.346839558224,3234.475364662847,60531.82220422107,23545.366259863662,19170.302240644734,6267.677230971471,37,1,233.937568849478,13,470.3035649568554,6946.925406014552,6837.419216953253,60125.07786407172,406.74434014935105
2025-02-05,1,90951.81537123266,636.1396092138723,91587.95498044654,57238.92264230261,2748.2832903728327,59987.20593267544,23073.187141412374,18734.549956846342,6500.890812547166,36,1,245.00635174328934,15,435.0126056586407,6837.419216953253,6787.121025506232,58088.400388662485,1898.8055440129538
2025-02-06,1,91224.01153942634,782.2431142667511,92006.25465369309,57519.70753679443,3760.845142127369,61280.55267892179,22358.72645788409,18115.66405047563,7492.135029617965,35,1,225.3689165730126,13,579.7906647162223,6787.121025506232,6781.4592259623305,58215.019277049105,3065.533401872686
2025-02-07,1,44642.62631250728,491.9572125599228,45134.5835250672,23004.73184259773,2454.9720064259564,25459.703849023685,18750.948360711765,15307.23339602162,9885.188893710387,33,1,114.05149525877431,11,337.36092290808904,6781.4592259623305,6649.275643912233,23780.61528583093,1679.0885631927558
2025-02-08,1,42785.66022939172,684.636946119958,43470.297175511674,22058.436880588102,3059.4879283133573,25117.92480890146,18676.871574459426,15063.47314223684,8279.736026622424,35,1,327.0725296552183,14,567.4037110898049,6649.275643912233,6721.267680662563,23119.492744909207,1998.4320639922553
2025-02-09,1,88011.2695294969,689.6500854450488,88700.91961494194,55257.45400300764,2916.3221067618497,58173.77610976949,22866.40083491159,18729.00488652761,5008.1076998912995,40,1,290.59029086412465,14,531.3665539817275,6721.267680662563,6491.023002607874,57090.935663424636,1082.8404463448533
2025-02-10,1,88162.82575376949,627.9820412817002,88790.8077950512,55357.34385018368,2855.1151828834786,58212.459033067156,20211.83449879223,16459.11971135629,10711.455424281918,38,1,347.16893236887336,21,529.6236742635299,6491.023002607874,6393.763261125006,55871.78879841227,2340.6702346548846
2025-02-11,1,86887.68583263784,577.4834229881477,87465.169255626,54377.59071051423,2682.3903290153235,57059.98103952956,21604.627275366278,17650.11237247013,8290.057219396505,39,1,210.59441214461532,19,505.5301099035597,6393.763261125006,6226.691839543406,54895.463155781246,2164.517883748311
2025-02-12,1,85321.08739948702,1028.1573805143535,86349.24478000138,53311.19784472433,4352.293151564532,57663.49099628886,22108.330618279608,17842.654849304425,6816.832877692854,52,1,463.766623365856,27,722.9216471575199,6226.691839543406,6299.017341212353,54930.79154276581,2732.699453523055
2025-02-13,1,84784.95815971261,724.4431300876055,85509.40128980021,53022.16219782066,2701.7759573398725,55723.93815516053,20207.979530304532,16339.865536098734,10311.808278927741,42,1,538.6070455520461,29,652.1160823087621,6299.017341212353,6330.792767265617,53728.29434374154,1995.643811418995
2025-02-14,1,37242.86877846178,1064.7357008751155,38307.60447933689,19289.51690264792,3942.461083052607,23231.977985700527,18435.201989933583,15039.415720600453,5110.016393337099,59,1,793.5260593621348,38,412.91866375932847,6330.792767265617,6212.01264642756,21906.071940959504,1325.906044741023
2025-02-15,1,36151.494449673875,1201.279943572111,37352.774393245985,18713.27420078771,4671.793856410083,23385.06805719779,18223.332688716393,14977.278607335902,4826.629211865497,59,1,746.4319957043217,32,579.3006830222021,6212.01264642756,5971.591391454652,21720.787295977767,1664.2807612200231
2025-02-16,1,81031.00431190294,1156.5707466443607,82187.5750585473,50212.47123818955,4577.580317356833,54790.051555546386,23392.797168657075,18868.292379485985,2285.691169376224,64,1,577.9527410223801,32,851.1639993185182,5971.591391454652,6060.339532706039,55196.61286814046,-406.56131259407266
2025-02-17,1,81036.93809442122,786.0299833953706,81822.9680778166,50177.13865703837,3168.7573115215437,53345.89596855991,20564.618326514188,16626.404549212344,6700.891133848076,51,1,414.9149630064102,27,576.4105945443939,6060.339532706039,6094.713194110649,51427.01382665547,1918.8821419044398
