month,v2b_total_cost_yuan,v5_total_cost_yuan,difference_yuan,v2b_emergency_cost_yuan,v5_emergency_cost_yuan
2025-02,1260450.0215339102,1311200.769924996,50750.74839108577,51588.7656232266,102339.51401431243
2025-03,1210330.7203780846,1250437.848479691,40107.12810160639,95230.66595783026,135337.7940594368
2025-04,1024659.4528019764,1082936.8766353885,58277.42383341212,89540.26861819123,147817.6924516034
2025-05,1076294.6962692963,1145895.3128476865,69600.61657839012,98654.190545053,168254.8071234431
2025-06,1496901.787110527,1588080.7036413027,91178.9165307756,167517.70551968782,258696.62205046348
2025-07,1622542.4799235943,1714561.150922481,92018.6709988867,144583.94122178276,236602.61222066949
2025-08,1383711.1271719956,1450473.9734851986,66762.84631320299,96408.31593872306,163171.1622519262
2025-09,1242747.1387167561,1295090.4882302242,52343.3495134681,107738.09240560912,160081.4419190772
2025-10,1199055.5276922246,1253943.2487964623,54887.72110423772,83691.52356501663,138579.24466925423
2025-11,1318847.8828597837,1371190.129422487,52342.24656270328,58528.80708154804,110871.05364425134
2025-12,1751811.1235972438,1827510.4906979918,75699.367100748,84935.15848100308,160634.52558175102
