date,reference_total_cost_yuan,joint_total_cost_yuan,v2b_total_cost_yuan,target_kwh,reference_soc_06_kwh,joint_soc_06_kwh
2025-02-01,24803.255876193256,26408.058071089374,24837.681053606968,9000.0,10170.22601585004,10170.22601585004
2025-02-02,64899.860533477295,60528.88829934458,58603.791989630314,9000.0,9808.337511485923,10800.0
2025-02-03,64998.9832557586,59969.45207978791,57884.221926939535,9000.0,9631.879940618124,10800.0
2025-02-04,66919.83173888264,60900.97156357739,60125.07786407172,9000.0,9610.064352903893,10800.0
2025-02-05,66539.98914828038,60437.16411956768,58088.400388662485,9000.0,9726.848937933379,10800.0
2025-02-06,64606.94445140073,60420.73451935995,58215.019277049105,9000.0,9716.22043108,10800.0
2025-02-07,30581.364921164004,25927.797370576085,23780.61528583093,9000.0,9000.0,10095.690782822589
2025-02-08,31042.68995897808,25832.932335588506,23119.492744909207,9000.0,9000.0,9683.106693322221
2025-02-09,65747.04982204094,59580.27262095828,57090.935663424636,9000.0,9471.307926204721,10716.524273488114
2025-02-10,63008.736099128786,58758.08187998034,55871.78879841227,9000.0,9589.61958073182,10774.867856402921
2025-02-11,62159.952008046086,57290.24440158215,54895.463155781246,9000.0,9279.992564297887,10480.031941953739
2025-02-12,62364.7679162378,57633.11114322094,54930.79154276581,9000.0,9016.078342581794,10248.806288440204
2025-02-13,62435.974595814194,56571.819488131594,53728.29434374154,9000.0,9000.0,9862.667903935773
2025-02-14,34382.45661267777,28332.676113288726,21906.071940959504,9000.0,9000.0,9586.963520691947
2025-02-15,36033.79036974628,30289.993448506746,21720.787295977767,9000.0,9000.0,9673.956779135517
2025-02-16,65759.873173916,55987.40259212584,55196.61286814046,9000.0,9000.0,9886.447316211197
2025-02-17,60260.852431522435,54037.702949733364,51427.01382665547,9000.0,9000.0,9908.332003377636
2025-02-18,61267.11668479941,54706.475581240615,51610.700346707374,9000.0,9000.0,9891.629095575441
2025-02-19,63974.4066873597,55653.00117074291,53739.52459123708,9000.0,9000.0,9933.476126975771
2025-02-20,61426.06357625275,53952.765114846974,51418.53921578905,9000.0,9000.0,9899.133304834386
2025-02-21,35641.69977930612,29626.613089108585,20518.87774205239,9000.0,9000.0,9613.782615850667
2025-02-22,37838.48309205763,31834.108850930163,21391.56568430485,9000.0,9000.0,9691.40595659412
2025-02-23,62564.69364187774,54272.29904218879,52131.7970378941,9000.0,9000.0,9904.627503618896
2025-02-24,57539.7064095752,52362.72044453615,49624.43488134203,9000.0,9000.0,9892.186058838151
2025-02-25,57742.13654950304,51901.319922116214,49265.94545390229,9000.0,9000.0,9874.074074074075
2025-02-26,58636.17020476079,52631.17005893465,49954.59245259788,9000.0,9000.0,9899.69583936483
2025-02-27,59836.03682243658,50847.81382283027,49449.1963432952,9000.0,9000.0,9899.69583936483
2025-02-28,36096.09261397609,29587.426964556787,19922.78781822888,9000.0,9000.0,9663.553891746407
2025-03-01,35126.7730384303,31912.932733970832,19766.704509641648,9000.0,9000.000000000002,9699.035319548104
2025-03-02,71041.30656426941,63976.66232040999,62785.354280805506,9000.0,9000.0,9903.512588644704
2025-03-03,68329.3399317666,59510.75281209536,58059.68172863853,9000.0,9000.0,9894.247623225277
2025-03-04,57025.948245560154,51712.34214509157,49322.73676592427,9000.0,9000.0,9894.718197569855
2025-03-05,56593.40351470905,51625.88881660255,49350.18223849303,9000.0,9000.0,9890.974009849875
2025-03-06,56824.561645047346,52073.407571707285,49356.10074619279,9000.0,9000.0,9900.113057273618
2025-03-07,34021.70017603361,29225.142854277587,18218.358655209122,9000.0,9000.0,9793.327343430736
2025-03-08,36284.369865543704,29539.76878516293,17911.427659265337,9000.0,8999.999999999998,9778.445993767979
2025-03-09,56418.34061403968,51009.4161744328,48344.59420223806,9000.0,9000.0,9922.179487987141
2025-03-10,59184.226247575425,51851.62005785623,50066.29749251472,9000.0,9000.0,9905.803774788663
2025-03-11,55385.45164375546,51071.95904812189,47199.989122886625,9000.0,9000.0,9926.286773559386
2025-03-12,54895.688242830256,49968.10107641656,46859.67644928582,9000.0,9000.0,9861.937468000177
2025-03-13,62291.08455332295,51602.44706079881,52843.534614193064,9000.0,9000.0,9907.279103772009
2025-03-14,37318.46111156793,29594.329250244766,17608.291515154855,9000.0,9000.0,9778.497175748897
2025-03-15,38919.629801817035,29206.752659583988,18692.584774076116,9000.0,9000.0,8370.35196752998
2025-03-16,57321.68492760384,48930.5334539742,47741.147505319226,9000.0,9000.0,9892.128053489703
2025-03-17,53176.48948989879,48425.320833852405,44831.95476477479,9000.0,9000.0,9926.804343069369
2025-03-18,57694.542603685615,47789.67460747482,47953.02885620922,9000.0,9000.0,9958.335389890482
2025-03-19,56058.28482959847,45753.61709558315,45677.24807417138,9000.0,9000.0,9898.40129025749
2025-03-20,55192.03785514435,47374.56301169727,44753.326657382466,9000.0,9000.0,9922.615950344343
2025-03-21,38011.18203657658,28365.87432791344,17141.057475996724,9000.0,9000.0,8759.076521429153
2025-03-22,38470.983349762646,28711.552205958567,17385.321593042834,9000.0,9000.0,8853.88409478795
2025-03-23,54710.53217977064,46181.03712177729,43961.78443628162,9000.0,9000.0,9916.392426042901
2025-03-24,52926.372037595596,45235.30595428045,43480.00910580167,9000.0,9000.0,9873.62420910855
2025-03-25,55304.856924749016,46419.27227694186,45403.05865168481,9000.0,9000.0,9903.009852211131
2025-03-26,50550.36200529984,44097.291645696394,41534.140443029886,9000.0,9000.0,9856.245065645648
2025-03-27,51795.47549368071,45401.630881828816,42818.063435981654,9000.0,9000.0,9894.072709833374
2025-03-28,37603.63017093868,30169.01642513609,16778.61254860166,9000.0,9000.0,9757.876024271156
2025-03-29,37782.780460634414,30896.79861148456,16274.31547448522,9000.0,9000.0,9831.059146117806
2025-03-30,50917.27885080627,43433.062691168416,42134.76771564178,9000.0,9000.0,9925.72243734138
2025-03-31,54212.081088748855,45818.272698517205,46077.368885160126,9000.0,9000.0,9872.298506070138
2025-04-01,57109.17677782112,49114.431748357216,47648.78062276718,9000.0,9000.0,9887.571093627608
2025-04-02,64489.414325542544,53659.80985716802,52217.71101380157,9000.0,9000.0,9929.267547647247
2025-04-03,51945.19068459742,43925.40493076158,41419.51627875274,9000.0,9000.0,9961.326663925078
2025-04-04,37393.51336941515,30542.503635916313,15861.573049826251,9000.0,9000.0,9850.890296008038
2025-04-05,38981.64004470416,31458.723570903687,17219.166943122334,9000.0,9000.0,9865.273334358948
2025-04-06,48863.91881738208,43294.730869344974,40031.50725413221,9000.0,9000.0,9953.565745527294
2025-04-07,47561.43968123544,42144.3257372354,39476.44391977004,9000.0,9000.0,9975.506192466844
2025-04-08,51604.72637972861,44443.79603574662,41703.8970320601,9000.0,9000.0,9963.306817765286
2025-04-09,53748.45714426671,46138.32544680045,44465.33169072687,9000.0,9000.0,9984.346080572423
2025-04-10,50848.41943727787,43837.03688282921,42017.4321005124,9000.0,9000.0,10000.475470430529
2025-04-11,37955.15085408107,31145.646221859482,16253.099711901148,9000.0,9000.0,9850.14425793703
2025-04-12,37258.76610516261,30668.015765052372,15530.948010756842,9000.0,9000.0,9937.393939674601
2025-04-13,48136.25166576344,42495.52399313557,39789.96657042234,9000.0,9000.0,9984.742385216727
2025-04-14,48241.96067973237,41987.55867271971,39306.32743543932,9000.0,9000.0,9964.914373426329
2025-04-15,45993.66677370114,41761.73658626442,38642.430391209375,9000.0,9000.0,10007.125493720978
2025-04-16,48428.42647225675,42124.305867436866,39811.37485265013,9000.0,9000.0,10002.324313114508
2025-04-17,46174.16807154502,41088.294126861685,38147.46664981432,9000.0,9000.0,9986.373130142438
2025-04-18,37957.69907313068,30871.14811303067,14908.335462583605,9000.0,9000.0,9754.584095413284
2025-04-19,37721.66183273009,29393.59450219087,15006.899477751194,9000.0,9000.0,9596.164025550226
2025-04-20,47266.060796253296,40644.86020270668,38313.027304504125,9000.0,9000.0,10014.811981246488
2025-04-21,45771.2003364782,39483.974809637475,37345.85906452578,9000.0,9000.0,10005.111116437625
2025-04-22,46836.30359036417,40144.63398162618,38167.607393168,9000.0,9000.0,10036.188875367896
2025-04-23,46094.93576009561,40648.4350857058,37439.877134949114,9000.0,9000.0,9952.927133070978
2025-04-24,44120.504253232706,39894.169566914046,36297.44454993917,9000.0,9000.0,10012.767532279728
2025-04-25,37027.08879948101,29361.387164096916,14228.583221304765,9000.0,9000.000000000002,9405.561936214684
2025-04-26,38423.07662503176,30315.79257243689,14974.064505436127,9000.0,9000.0,9264.014305504983
2025-04-27,47273.501610899715,42903.68085467061,38491.05813830441,9000.0,9000.0,9517.467602502431
