date,slot,phase,interval_start,interval_end,interval_label,plan_issue_time,history_available_through,price_yuan_per_kwh,load_forecast_kwh,pv_forecast_kwh,load_kwh,pv_actual_kwh,purchase_kwh,planned_charge_kwh,planned_discharge_kwh,charge_kwh,discharge_kwh,emergency_kwh,curtailment_kwh,soc_start_kwh,soc_end_kwh,planned_cost_yuan,emergency_cost_yuan,total_cost_yuan,committed_purchase_kwh,control_issue_time,last_observation_end,raw_sample_label_time,observation_model,issued_charge_kwh,issued_discharge_kwh,reserve_kwh
2025-01-01,1,warmup,2025-01-01T00:00,2025-01-01T00:10,00:00-00:10,2025-01-01T00:00,,0.4248,0.0,0.0,588.2882666666667,0.0,0.0,0.0,0.0,0.0,0.0,588.2882666666667,0.0,6000.0,6000.0,0.0,1249.5242784000002,1249.5242784000002,0.0,2025-01-01T00:00,,2025-01-01T00:10,warmup,0.0,0.0,1200.0
2025-01-01,2,warmup,2025-01-01T00:10,2025-01-01T00:20,00:10-00:20,2025-01-01T00:00,,0.4245,0.0,0.0,601.5881166666667,0.0,0.0,0.0,0.0,0.0,0.0,601.5881166666667,0.0,6000.0,6000.0,0.0,1276.870777625,1276.870777625,0.0,2025-01-01T00:00,,2025-01-01T00:20,warmup,0.0,0.0,1200.0
2025-01-01,3,warmup,2025-01-01T00:20,2025-01-01T00:30,00:20-00:30,2025-01-01T00:00,,0.4269,0.0,0.0,621.0933333333334,0.0,0.0,0.0,0.0,0.0,0.0,621.0933333333334,0.0,6000.0,6000.0,0.0,1325.7237200000002,1325.7237200000002,0.0,2025-01-01T00:00,,2025-01-01T00:30,warmup,0.0,0.0,1200.0
2025-01-01,4,warmup,2025-01-01T00:30,2025-01-01T00:40,00:30-00:40,2025-01-01T00:00,,0.4272,0.0,0.0,585.1051833333333,0.0,0.0,0.0,0.0,0.0,0.0,585.1051833333333,0.0,6000.0,6000.0,0.0,1249.7846716000001,1249.7846716000001,0.0,2025-01-01T00:00,,2025-01-01T00:40,warmup,0.0,0.0,1200.0
2025-01-01,5,warmup,2025-01-01T00:40,2025-01-01T00:50,00:40-00:50,2025-01-01T00:00,,0.4271,0.0,0.0,583.7604166666666,0.0,0.0,0.0,0.0,0.0,0.0,583.7604166666666,0.0,6000.0,6000.0,0.0,1246.6203697916665,1246.6203697916665,0.0,2025-01-01T00:00,,2025-01-01T00:50,warmup,0.0,0.0,1200.0
2025-01-01,6,warmup,2025-01-01T00:50,2025-01-01T01:00,00:50-01:00,2025-01-01T00:00,,0.4285,0.0,0.0,631.1683333333334,0.0,0.0,0.0,0.0,0.0,0.0,631.1683333333334,0.0,6000.0,6000.0,0.0,1352.2781541666668,1352.2781541666668,0.0,2025-01-01T00:00,,2025-01-01T01:00,warmup,0.0,0.0,1200.0
2025-01-01,7,warmup,2025-01-01T01:00,2025-01-01T01:10,01:00-01:10,2025-01-01T00:00,,0.4311,0.0,0.0,650.0534166666666,0.0,0.0,0.0,0.0,0.0,0.0,650.0534166666666,0.0,6000.0,6000.0,0.0,1401.1901396249998,1401.1901396249998,0.0,2025-01-01T00:00,,2025-01-01T01:10,warmup,0.0,0.0,1200.0
2025-01-01,8,warmup,2025-01-01T01:10,2025-01-01T01:20,01:10-01:20,2025-01-01T00:00,,0.4302,0.0,0.0,652.8062666666666,0.0,0.0,0.0,0.0,0.0,0.0,652.8062666666666,0.0,6000.0,6000.0,0.0,1404.1862796,1404.1862796,0.0,2025-01-01T00:00,,2025-01-01T01:20,warmup,0.0,0.0,1200.0
2025-01-01,9,warmup,2025-01-01T01:20,2025-01-01T01:30,01:20-01:30,2025-01-01T00:00,,0.4279,0.0,0.0,636.2133333333334,0.0,0.0,0.0,0.0,0.0,0.0,636.2133333333334,0.0,6000.0,6000.0,0.0,1361.1784266666666,1361.1784266666666,0.0,2025-01-01T00:00,,2025-01-01T01:30,warmup,0.0,0.0,1200.0
2025-01-01,10,warmup,2025-01-01T01:30,2025-01-01T01:40,01:30-01:40,2025-01-01T00:00,,0.4312,0.0,0.0,588.8356,0.0,0.0,0.0,0.0,0.0,0.0,588.8356,0.0,6000.0,6000.0,0.0,1269.5295536,1269.5295536,0.0,2025-01-01T00:00,,2025-01-01T01:40,warmup,0.0,0.0,1200.0
