candidate_id,mode,parameter,target_kwh,soft_lambda,days,purchase_kwh,emergency_kwh,actual_grid_kwh,planned_cost_yuan,emergency_cost_yuan,total_cost_yuan,charge_kwh,discharge_kwh,curtailment_kwh,emergency_intervals,emergency_days,emergency_while_charging_kwh,emergency_while_charging_intervals,waste_while_discharging_kwh,soc_start_kwh,soc_end_kwh,target_alpha
0,static_soft,6000.0,6000.0,5.0,17,1407765.7552687146,68411.90203761135,1476177.657306326,869018.8055555775,175159.94437255332,1044178.7499281308,396613.26881081896,321256.7477367634,156018.80701560367,915,17,60222.61985564417,583,20810.389058991208,6000.0,6000.000000000003,
1,static_soft,7500.0,7500.0,5.0,17,1407765.7552687146,68411.90203761135,1476177.657306326,869018.8055555775,175159.94437255332,1044178.7499281308,396613.26881081896,321256.7477367634,156018.80701560367,915,17,60222.61985564417,583,20810.389058991208,6000.0,6000.000000000003,
2,static_soft,9000.0,9000.0,5.0,17,1407765.7552687146,68507.11019118608,1476272.8654599008,869018.8055555775,175149.53864213603,1044168.3441977135,396795.92779142,321404.7015110503,156079.3099628642,912,17,60405.278836245256,583,20870.89200625173,6000.0,6000.000000000003,
3,static_soft,9750.0,9750.0,5.0,17,1407765.7552687146,71377.35028424974,1479143.1055529644,869018.8055555775,179236.84617267584,1048255.6517282533,400289.0814135868,324234.1559450053,158285.85086771622,882,17,64105.68607175256,582,23143.724362139783,6000.0,6000.000000000001,
4,static_soft,10500.0,10500.0,5.0,17,1407765.7552687146,79238.41213611682,1487004.1674048314,869018.8055555775,191483.97247468063,1060502.7780302581,406270.98065981263,329079.4943344482,165010.35186280034,818,17,72740.14349329844,560,27387.45001959558,6000.0,6000.000000000001,
5,static_soft,10800.0,10800.0,5.0,17,1407765.7552687146,83401.54083814863,1491167.2961068633,869018.8055555775,201528.77225716686,1070547.5778127443,407889.5631158776,330390.54612386087,168865.94989817982,793,17,75710.09886703281,525,29488.527117516376,6000.0,6000.000000000001,
6,dynamic_soft,0.5,,5.0,17,1407765.7552687146,76176.22491648213,1483941.9801851967,869018.8055555775,181931.30599735823,1050950.1115529358,405085.94900552294,328119.61869447364,162173.32065748068,834,17,70351.13024928006,531,25036.91778532289,6000.0,6000.000000000003,0.5
7,dynamic_soft,0.7,,5.0,17,1407765.7552687146,77055.31529704617,1484821.0705657608,869018.8055555775,183168.88543140847,1052187.690986986,406214.30895319046,329033.5902520843,162838.0226479879,824,17,71506.87916675254,531,25815.475306025153,6000.0,6000.000000000001,0.7
8,dynamic_soft,0.8,,5.0,17,1407765.7552687146,77269.00835048972,1485034.7636192043,869018.8055555775,183425.48788969923,1052444.2934452768,406493.8995659448,329260.05864841526,162998.59348500817,819,17,71807.28711998303,531,25955.2288025692,6000.0,6000.000000000003,0.8
9,dynamic_soft,0.9,,5.0,17,1407765.7552687146,78800.3128924026,1486566.0681611171,869018.8055555775,186162.32790929463,1055181.1334648721,408257.278743842,330688.39578251203,164194.85598312056,809,17,73555.5313538246,530,27277.19197925304,6000.0,6000.000000000003,0.9
