date,days,purchase_kwh,emergency_kwh,actual_grid_kwh,planned_cost_yuan,emergency_cost_yuan,total_cost_yuan,charge_kwh,discharge_kwh,curtailment_kwh,emergency_intervals,emergency_days,emergency_while_charging_kwh,emergency_while_charging_intervals,waste_while_discharging_kwh,soc_start_kwh,soc_end_kwh,v2b_total_cost_yuan,difference_vs_v2b_yuan
2025-02-01,1,47108.69673477165,69.67004628887798,47178.366781060526,24536.508708154528,229.59575506779944,24766.104463222327,20631.554631087016,16711.559251180483,8880.19546782066,5,1,16.24978872490442,1,2062.2221574959135,5999.999999999998,6000.000000000001,24837.681053606968,-71.57659038464044
2025-02-02,1,92642.0658755059,18.49930167839318,92660.5651771843,58510.15623006874,93.63575956157433,58603.791989630314,24833.33333333333,20115.0,9585.953893850958,3,1,0.0,0,2597.770802138998,6000.000000000001,6000.0,58603.791989630314,0.0
2025-02-03,1,91386.15482736447,81.63328483517444,91467.78811219965,57563.479479039546,320.74244789999125,57884.221926939535,24597.05152747875,19923.611737257786,6577.43182197868,9,1,11.064681736468401,2,2140.959317076752,6000.0,6000.000000000002,57884.221926939535,0.0
2025-02-04,1,91138.6012547946,700.1765144776334,91838.77776927223,57297.346839558224,2827.7310245134954,60125.07786407172,24496.82128565874,19842.425241383582,5989.517774997078,22,1,210.3628939198623,6,1149.1600547914004,6000.000000000002,6000.0,60125.07786407172,0.0
2025-02-05,1,90951.81537123266,229.19806014896926,91181.01343138162,57238.92264230261,849.4777463598774,58088.400388662485,24533.420379703446,19872.07050755979,5771.236575904642,12,1,111.89585672907992,4,1197.3480945007918,6000.0,6000.0,58088.400388662485,0.0
2025-02-06,1,91224.01153942634,143.74650422590935,91367.75804365225,57519.70753679443,695.3117402546841,58215.019277049105,24547.137196517757,19883.181129179386,6432.744759647216,14,1,16.86518563379127,2,1839.6518754818394,6000.0,6000.000000000002,58215.019277049105,0.0
2025-02-07,1,44642.62631250728,135.6111579423584,44778.23747044964,23004.73184259773,775.8834432332009,23780.61528583093,20564.200586515373,16657.002475077454,9065.35969234505,12,1,0.0,0,1400.8822138402486,6000.000000000002,6000.0,23780.61528583093,0.0
2025-02-08,1,42785.66022939172,194.0548634085181,42979.71509280024,22058.436880588102,1061.055864321103,23119.492744909207,20534.645545597465,16633.062891933943,7500.9697224700485,15,1,60.45618402908133,4,2062.34558096772,6000.0,6000.000000000002,23119.492744909207,0.0
2025-02-09,1,88011.2695294969,613.8019486241747,88625.07147812107,55257.45400300764,1833.481660416996,57090.935663424636,24522.54256012617,19863.259473702197,4410.372425030429,17,1,396.1039043152192,6,1294.1806813182313,6000.000000000002,6000.000000000001,57090.935663424636,0.0
2025-02-10,1,88162.82575376949,105.11591093823765,88267.94166470773,55357.34385018368,514.4449482285883,55871.78879841227,24620.42136874598,19942.541308684245,9263.424021312661,11,1,14.100118673509996,3,3691.7812429772157,6000.000000000001,6000.000000000001,55871.78879841227,0.0
