date,threshold_kwh,reserve_min_kwh,reserve_max_kwh,reserve_segments,end_soc_kwh
2025-02-01,800.0,1200.0,10254.477098367252,29,6000.000000000001
2025-02-02,800.0,1200.0,10271.510381898539,30,6000.0
2025-02-03,800.0,1200.0,10245.070293645265,32,6000.000000000002
2025-02-04,800.0,1200.0,10296.47572853804,31,6000.0
2025-02-05,800.0,1200.0,10288.754065859866,32,6000.0
2025-02-06,800.0,1200.0,10272.923417370333,33,6000.000000000002
2025-02-07,800.0,1200.0,10108.013154905895,37,6000.0
2025-02-08,800.0,1200.0,10100.8491521597,38,6000.000000000002
2025-02-09,800.0,1200.0,10251.560630258746,39,6000.000000000001
2025-02-10,800.0,1200.0,10279.225394687863,42,6000.000000000001
2025-02-11,800.0,1200.0,10281.705643468122,45,6000.000000000004
2025-02-12,800.0,1200.0,10282.694753197477,30,6000.0
2025-02-13,800.0,1200.0,10352.131020814142,30,6000.0
2025-02-14,800.0,1200.0,10266.005622377214,30,6000.0
2025-02-15,800.0,1200.0,10261.559824324211,27,6000.000000000003
2025-02-16,800.0,1200.0,10443.151800150905,32,6000.0
2025-02-17,800.0,1200.0,10419.224478618386,30,6000.0
2025-02-18,800.0,1200.0,10389.577577030077,31,6000.0
2025-02-19,800.0,1200.0,10393.019019324001,28,6000.000000000002
2025-02-20,800.0,1200.0,10425.237986703914,33,6000.0
2025-02-21,800.0,1200.0,10320.279495160179,27,6000.000000000001
2025-02-22,800.0,1200.0,10281.305383619812,26,6000.000000000001
2025-02-23,800.0,1200.0,10441.413319223291,35,6000.0
2025-02-24,800.0,1200.0,10415.793834239883,40,6000.0
2025-02-25,800.0,1200.0,10434.419648565516,36,6000.000000000001
2025-02-26,800.0,1200.0,10409.807309348991,34,6000.000000000004
2025-02-27,800.0,1200.0,10464.01400404491,36,6000.000000000001
2025-02-28,800.0,1200.0,10359.732683824308,29,6000.000000000001
2025-03-01,800.0,1200.0,10324.215914352766,29,6000.0
2025-03-02,800.0,1200.0,10455.310505412175,31,6000.000000000002
2025-03-03,800.0,1200.0,10460.118203526654,31,6000.0
2025-03-04,800.0,1200.0,10455.81313262551,29,6000.0
2025-03-05,800.0,1200.0,10439.848025901216,31,6000.0
2025-03-06,800.0,1200.0,10435.485503215505,34,6000.0
2025-03-07,800.0,1200.0,10299.522969885344,31,6000.000000000003
2025-03-08,800.0,1200.0,10327.432304717415,32,6000.000000000001
2025-03-09,800.0,1200.0,10477.532636214662,31,6000.0
2025-03-10,800.0,1200.0,10491.28498100105,33,6000.0
2025-03-11,800.0,1200.0,10491.082378593046,32,6000.000000000004
2025-03-12,800.0,1200.0,10490.765631396778,36,6000.0
2025-03-13,800.0,1200.0,10495.862162970485,33,6000.0
2025-03-14,800.0,1200.0,10329.63843483792,30,6000.0
2025-03-15,800.0,1200.0,10297.487391455013,31,6000.0
2025-03-16,800.0,1200.0,10420.284046549568,34,6000.0
2025-03-17,800.0,1200.0,10372.954023132776,36,6000.000000000003
2025-03-18,800.0,1200.0,10378.474235300904,32,6000.000000000001
2025-03-19,800.0,1200.0,10405.757807819075,31,6000.0
2025-03-20,800.0,1200.0,10371.095959460046,31,6000.0
2025-03-21,800.0,1200.0,10260.56166549692,27,6000.000000000002
2025-03-22,800.0,1200.0,10269.458007045623,27,6000.0
2025-03-23,800.0,1200.0,10361.40203849463,31,6000.000000000002
2025-03-24,800.0,1200.0,10340.234077514324,29,6000.000000000002
2025-03-25,800.0,1200.0,10306.767205337801,29,6000.0000000000055
2025-03-26,800.0,1200.0,10353.660446352327,33,6000.000000000001
2025-03-27,800.0,1200.0,10356.4760770953,33,6000.000000000002
2025-03-28,800.0,1200.0,10263.537011013357,29,6000.0
2025-03-29,800.0,1200.0,10268.49989620919,29,6000.0
2025-03-30,800.0,1200.0,10337.134740173255,30,6000.0
2025-03-31,800.0,1200.0,10338.165802248435,28,6000.0
2025-04-01,800.0,1200.0,10348.953599256132,29,6000.000000000004
2025-04-02,800.0,1200.0,10330.308306016166,45,6000.000000000002
2025-04-03,800.0,1200.0,10330.757319157854,44,6000.000000000001
2025-04-04,800.0,1200.0,10290.17559065729,27,6000.0
2025-04-05,800.0,1200.0,10286.964804215047,27,6000.0
2025-04-06,800.0,1200.0,10365.724536484951,42,6000.0
2025-04-07,800.0,1200.0,10394.764235478426,41,6000.0
2025-04-08,800.0,1200.0,10455.463359631696,41,6000.000000000001
2025-04-09,800.0,1200.0,10438.231114021894,41,6000.000000000004
2025-04-10,800.0,1200.0,10446.101387157247,33,6000.000000000002
2025-04-11,800.0,1200.0,10286.415140755782,28,6000.0
2025-04-12,800.0,1200.0,10272.654842706956,30,6000.000000000001
2025-04-13,800.0,1200.0,10457.166293364626,33,6000.000000000002
2025-04-14,800.0,1200.0,10459.434743933514,34,6000.000000000002
2025-04-15,800.0,1200.0,10420.893312886823,38,6000.0
2025-04-16,800.0,1200.0,10424.650257023166,35,6000.0
2025-04-17,800.0,1200.0,10425.985817673378,38,6000.000000000001
2025-04-18,800.0,1200.0,10267.197036279835,28,6000.000000000002
2025-04-19,800.0,1200.0,10267.706062451825,28,6000.000000000002
2025-04-20,800.0,1200.0,10431.592217053416,37,6000.0
2025-04-21,800.0,1200.0,10421.586187908424,39,6000.0
2025-04-22,800.0,1200.0,10405.408555966937,38,6000.000000000001
2025-04-23,800.0,1200.0,10413.783282486447,39,6000.0
2025-04-24,800.0,1200.0,10358.212312349995,27,6000.0
2025-04-25,800.0,1200.0,10122.26063202045,31,6000.0
2025-04-26,800.0,1200.0,10120.207642366424,31,6000.0
2025-04-27,800.0,1200.0,10348.423599896187,30,6000.0
2025-04-28,800.0,1200.0,10340.059901108543,26,6000.0
2025-04-29,800.0,1200.0,10391.916409731235,40,6000.0
2025-04-30,800.0,1200.0,10390.552837867137,44,6000.000000000002
2025-05-01,800.0,1200.0,10375.114594247027,45,6000.0
2025-05-02,800.0,1200.0,10030.785836089544,29,6000.000000000002
2025-05-03,800.0,1200.0,9967.656808818829,25,6000.000000000002
2025-05-04,800.0,1200.0,9928.79024324629,38,6000.0
2025-05-05,800.0,1200.0,9837.217833744835,37,6000.0
2025-05-06,800.0,1200.0,9761.330903576494,35,6000.0
2025-05-07,800.0,1200.0,9760.7929972887,35,6000.0
2025-05-08,800.0,1200.0,9756.826491236312,33,6000.0
2025-05-09,800.0,1200.0,9285.686000020103,27,6000.0
2025-05-10,800.0,1200.0,9304.6683042315,27,6000.000000000001
2025-05-11,800.0,1200.0,9861.642609634935,35,6000.0
2025-05-12,800.0,1200.0,9887.56244552154,39,6000.0
2025-05-13,800.0,1200.0,9920.040552765546,33,6000.000000000002
2025-05-14,800.0,1200.0,10104.041337850718,35,6000.0
2025-05-15,800.0,1200.0,10139.186651962082,36,6000.0
2025-05-16,800.0,1200.0,9945.779530259824,29,6000.000000000002
2025-05-17,800.0,1200.0,9984.401479543312,24,6000.0
2025-05-18,800.0,1200.0,10086.551493646994,34,6000.0
2025-05-19,800.0,1200.0,10149.042499547832,34,6000.0
2025-05-20,800.0,1200.0,10155.592186324964,34,6000.0
2025-05-21,800.0,1200.0,10238.136792073787,37,6000.0
2025-05-22,800.0,1200.0,10120.323159239575,39,6000.0
2025-05-23,800.0,1200.0,9929.353316312243,26,6000.0
2025-05-24,800.0,1200.0,9952.832688028602,26,6000.0
2025-05-25,800.0,1200.0,10102.006900265542,34,6000.0
2025-05-26,800.0,1200.0,10181.41788201808,35,6000.000000000001
2025-05-27,800.0,1200.0,10197.471988480826,37,6000.0
2025-05-28,800.0,1200.0,10152.507147841548,35,6000.0
2025-05-29,800.0,1200.0,10182.615121119621,34,6000.0
2025-05-30,800.0,1200.0,10093.602080874229,26,6000.000000000002
2025-05-31,800.0,1200.0,10093.08655264867,26,6000.0
2025-06-01,800.0,1200.0,10315.602383288735,31,6000.0
2025-06-02,800.0,1200.0,10198.682001059036,40,6000.0
2025-06-03,800.0,1200.0,10119.575476212409,40,6000.0
2025-06-04,800.0,1200.0,10019.144846038638,38,6000.0
2025-06-05,800.0,1200.0,9792.50844628679,39,6000.0
2025-06-06,800.0,1200.0,8994.394455287287,31,6000.0
2025-06-07,800.0,1200.0,8838.618761788246,29,6000.0
2025-06-08,800.0,1200.0,9445.314673081462,33,6000.0
2025-06-09,800.0,1200.0,9445.314673081462,35,6000.0
2025-06-10,800.0,1200.0,9445.314673081462,34,6000.0
2025-06-11,800.0,1200.0,9630.58355760637,34,6000.0
2025-06-12,800.0,1200.0,9764.109670435906,33,6000.0
2025-06-13,800.0,1200.0,9645.510928822836,28,6000.0
2025-06-14,800.0,1200.0,9721.726464507003,29,6000.000000000003
2025-06-15,800.0,1200.0,10015.441469550628,33,6000.0
2025-06-16,800.0,1200.0,10032.438739434501,34,6000.0
2025-06-17,800.0,1200.0,9889.734173879331,38,6000.0
2025-06-18,800.0,1200.0,9965.260582838562,42,6000.0
2025-06-19,800.0,1200.0,9972.712711284797,41,6000.0
2025-06-20,800.0,1200.0,9723.089013954384,37,6000.0
2025-06-21,800.0,1200.0,9850.494146321187,33,6000.0
2025-06-22,800.0,1200.0,10046.935311891499,31,6000.0
2025-06-23,800.0,1200.0,10070.991818858789,31,6000.0
2025-06-24,800.0,1200.0,10059.481765450415,32,6000.0
2025-06-25,800.0,1200.0,10017.882372505153,32,6000.0
2025-06-26,800.0,1200.0,10088.614688689197,30,6000.0
2025-06-27,800.0,1200.0,9872.746434311199,26,6000.0
2025-06-28,800.0,1200.0,10012.662744668667,27,6000.000000000002
2025-06-29,800.0,1200.0,10268.670784919705,37,6000.0
2025-06-30,800.0,1200.0,10211.724977200423,33,6000.0
2025-07-01,800.0,1200.0,10152.80985597416,36,6000.0
2025-07-02,800.0,1200.0,10123.568584381406,46,6000.0
2025-07-03,800.0,1200.0,9960.358654585922,46,6000.0
2025-07-04,800.0,1200.0,9362.994226879038,40,6000.0
2025-07-05,800.0,1200.0,9044.704455283383,35,6000.000000000002
2025-07-06,800.0,1200.0,9362.910243386244,36,6000.0
2025-07-07,800.0,1200.0,9239.671431455057,33,6000.0
2025-07-08,800.0,1200.0,9625.663128227965,30,6000.0
2025-07-09,800.0,1200.0,9630.182620561842,31,6000.0
2025-07-10,800.0,1200.0,9636.282850737905,30,6000.0
2025-07-11,800.0,1200.0,9644.718896353683,28,6000.000000000002
2025-07-12,800.0,1200.0,9656.303919202295,28,6000.0
2025-07-13,800.0,1200.0,9835.267045790551,30,6000.0
2025-07-14,800.0,1200.0,9915.068917277036,29,6000.0
2025-07-15,800.0,1200.0,9972.872738092492,30,5999.999999999999
2025-07-16,800.0,1200.0,9915.392918973163,30,6000.0
2025-07-17,800.0,1200.0,9886.002382506242,32,6000.0
2025-07-18,800.0,1200.0,9824.202422360755,32,6000.0
2025-07-19,800.0,1200.0,9846.514141447471,33,6000.000000000001
2025-07-20,800.0,1200.0,9840.929847463223,40,6000.0
2025-07-21,800.0,1200.0,9959.243448665966,37,6000.0
2025-07-22,800.0,1200.0,9988.36865586742,33,6000.0
2025-07-23,800.0,1200.0,10041.337436573287,32,6000.0
2025-07-24,800.0,1200.0,9991.009719650876,34,6000.0
2025-07-25,800.0,1200.0,9790.591315750256,28,6000.000000000001
2025-07-26,800.0,1200.0,9735.782761489943,31,6000.0
2025-07-27,800.0,1200.0,9971.352936350579,28,6000.0
2025-07-28,800.0,1200.0,10047.00525667468,28,6000.0
2025-07-29,800.0,1200.0,10168.260880777054,29,6000.0
2025-07-30,800.0,1200.0,10146.265830968297,33,6000.0
2025-07-31,800.0,1200.0,10089.896342570408,32,6000.0
2025-08-01,800.0,1200.0,10074.840088154875,26,6000.000000000001
2025-08-02,800.0,1200.0,10099.940513378953,25,6000.0
2025-08-03,800.0,1200.0,10219.37522668747,33,6000.0
2025-08-04,800.0,1200.0,10262.438665129665,32,6000.0
2025-08-05,800.0,1200.0,10244.501306987771,30,6000.0
2025-08-06,800.0,1200.0,10261.591951799213,35,6000.0
2025-08-07,800.0,1200.0,10248.556955677845,39,6000.0
2025-08-08,800.0,1200.0,10117.25094689568,26,6000.000000000002
2025-08-09,800.0,1200.0,10156.482385964055,27,6000.000000000001
2025-08-10,800.0,1200.0,10207.679798348165,42,6000.0
2025-08-11,800.0,1200.0,10246.604502664362,41,6000.0
2025-08-12,800.0,1200.0,10221.27617488523,32,6000.0
2025-08-13,800.0,1200.0,10213.571128055759,35,6000.0
2025-08-14,800.0,1200.0,10202.636308571899,33,6000.0
2025-08-15,800.0,1200.0,10148.507680301396,24,6000.000000000002
2025-08-16,800.0,1200.0,10119.040630050455,23,6000.000000000001
2025-08-17,800.0,1200.0,10183.395712455733,36,6000.0
2025-08-18,800.0,1200.0,10175.113872281296,37,6000.0
2025-08-19,800.0,1200.0,10173.766258055448,37,6000.0
2025-08-20,800.0,1200.0,10153.581565250177,36,6000.0
2025-08-21,800.0,1200.0,10202.9013177595,25,6000.0
2025-08-22,800.0,1200.0,10091.212897120993,21,6000.0
2025-08-23,800.0,1200.0,10123.536845956294,22,6000.000000000004
2025-08-24,800.0,1200.0,10221.481265091272,31,6000.0
2025-08-25,800.0,1200.0,10195.95923047405,30,6000.0
