month,v2b_total_cost_yuan,v5_total_cost_yuan,difference_yuan,safety_purchase_kwh
2025-02,1260450.0215339102,1311200.769924996,50750.74839108577,0.0
2025-03,1210330.7203780846,1250437.848479691,40107.12810160639,0.0
2025-04,1024659.4528019764,1082936.8766353885,58277.42383341212,0.0
2025-05,1076294.6962692963,1145895.3128476865,69600.61657839012,0.0
2025-06,1496901.787110527,1588080.7036413027,91178.9165307756,0.0
2025-07,1622542.4799235943,1714561.150922481,92018.6709988867,0.0
2025-08,1383711.1271719956,1450473.9734851986,66762.84631320299,0.0
2025-09,1242747.1387167561,1295090.4882302242,52343.3495134681,0.0
2025-10,1199055.5276922246,1253943.2487964623,54887.72110423772,0.0
2025-11,1318847.8828597837,1371190.129422487,52342.24656270328,0.0
2025-12,1751811.1235972438,1827510.4906979918,75699.367100748,0.0
