date,alpha,beta,base_purchase_kwh,safety_purchase_kwh,reserve_min_kwh,reserve_max_kwh,reserve_segments,end_soc_kwh
2025-02-01,0.7,0.0,47108.696734771656,0.0,1200.0,10254.477098367252,29,7198.297489574913
2025-02-02,0.7,0.0,92642.06587550588,0.0,1200.0,10271.510381898539,30,7007.963163254137
2025-02-03,0.7,0.0,91386.15482736446,0.0,1200.0,10245.070293645265,32,6946.925406014552
2025-02-04,0.7,0.0,91138.6012547946,0.0,1200.0,10296.47572853804,31,6837.419216953253
2025-02-05,0.7,0.0,90951.81537123266,0.0,1200.0,10288.754065859866,32,6787.121025506232
2025-02-06,0.7,0.0,91224.01153942634,0.0,1200.0,10272.923417370333,33,6781.4592259623305
2025-02-07,0.7,0.0,44642.62631250727,0.0,1200.0,10108.013154905895,37,6649.275643912233
2025-02-08,0.7,0.0,42785.66022939172,0.0,1200.0,10100.8491521597,38,6721.267680662563
2025-02-09,0.7,0.0,88011.2695294969,0.0,1200.0,10251.560630258746,39,6491.023002607874
2025-02-10,0.7,0.0,88162.82575376949,0.0,1200.0,10279.225394687863,42,6393.763261125006
2025-02-11,0.7,0.0,86887.68583263784,0.0,1200.0,10281.705643468122,45,6226.691839543406
2025-02-12,0.7,0.0,85321.08739948702,0.0,1200.0,10282.694753197477,30,6299.017341212353
2025-02-13,0.7,0.0,84784.95815971261,0.0,1200.0,10352.131020814142,30,6330.792767265617
2025-02-14,0.7,0.0,37242.86877846178,0.0,1200.0,10266.005622377214,30,6212.01264642756
2025-02-15,0.7,0.0,36151.49444967388,0.0,1200.0,10261.559824324211,27,5971.591391454652
2025-02-16,0.7,0.0,81031.00431190296,0.0,1200.0,10443.151800150905,32,6060.339532706039
2025-02-17,0.7,0.0,81036.93809442122,0.0,1200.0,10419.224478618386,30,6094.713194110649
2025-02-18,0.7,0.0,80338.00216658469,0.0,1200.0,10389.577577030077,31,6314.997167206703
2025-02-19,0.7,0.0,79863.45171007383,0.0,1200.0,10393.019019324001,28,5945.182253172503
2025-02-20,0.7,0.0,79764.93631489796,0.0,1200.0,10425.237986703914,33,6404.255190882815
2025-02-21,0.7,0.0,35677.503682564704,0.0,1200.0,10320.279495160179,27,6390.410414318856
2025-02-22,0.7,0.0,35174.118336227184,0.0,1200.0,10281.305383619812,26,6326.682575611704
2025-02-23,0.7,0.0,78548.44339764726,0.0,1200.0,10441.413319223291,35,6205.996467330686
2025-02-24,0.7,0.0,78111.84414428174,0.0,1200.0,10415.793834239883,40,6337.238861548409
2025-02-25,0.7,0.0,77860.98604314981,0.0,1200.0,10434.419648565516,36,6261.761429745488
2025-02-26,0.7,0.0,77219.71070272496,0.0,1200.0,10409.807309348991,34,6438.027851025719
2025-02-27,0.7,0.0,76628.58436963244,0.0,1200.0,10464.01400404491,36,6411.529783101265
2025-02-28,0.7,0.0,35000.942680161614,0.0,1200.0,10359.732683824308,29,6525.70991456917
2025-03-01,0.7,0.0,34652.7514346,0.0,1200.0,10324.215914352766,29,6499.287063472916
2025-03-02,0.7,0.0,75562.29640718781,0.0,1200.0,10455.310505412175,31,6046.334485410214
2025-03-03,0.7,0.0,76357.92003653433,0.0,1200.0,10460.118203526654,31,6082.723078278941
2025-03-04,0.7,0.0,78320.09349566014,0.0,1200.0,10455.81313262551,29,6295.693382590138
2025-03-05,0.7,0.0,79480.65332722699,0.0,1200.0,10439.848025901216,31,6408.21074104713
2025-03-06,0.7,0.0,79020.08764704401,0.0,1200.0,10435.485503215505,34,6421.577412291468
2025-03-07,0.7,0.0,34300.32958420836,0.0,1200.0,10299.522969885344,31,6726.858524800489
2025-03-08,0.7,0.0,33363.06117728162,0.0,1200.0,10327.432304717415,32,6695.531632953053
2025-03-09,0.7,0.0,77219.76420468357,0.0,1200.0,10477.532636214662,31,6387.785694625534
2025-03-10,0.7,0.0,75477.85700321652,0.0,1200.0,10491.28498100105,33,6365.076565465087
2025-03-11,0.7,0.0,75481.65677470787,0.0,1200.0,10491.082378593046,32,6606.182356632013
2025-03-12,0.7,0.0,74920.20875388826,0.0,1200.0,10490.765631396778,36,6367.473908494038
2025-03-13,0.7,0.0,73720.42494971643,0.0,1200.0,10495.862162970485,33,6206.290100558187
2025-03-14,0.7,0.0,31864.833822374185,0.0,1200.0,10329.63843483792,30,6596.08679053875
2025-03-15,0.7,0.0,31521.983470451945,0.0,1200.0,10297.487391455013,31,6269.438140265995
2025-03-16,0.7,0.0,73315.15723364978,0.0,1200.0,10420.284046549568,34,6760.534387358091
2025-03-17,0.7,0.0,72791.7808039537,0.0,1200.0,10372.954023132776,36,6685.554266923529
2025-03-18,0.7,0.0,70226.31425253258,0.0,1200.0,10378.474235300904,32,6598.626594300091
2025-03-19,0.7,0.0,70227.49464823755,0.0,1200.0,10405.757807819075,31,6713.3697480732735
2025-03-20,0.7,0.0,69885.79111179117,0.0,1200.0,10371.095959460046,31,6319.678905662419
2025-03-21,0.7,0.0,30852.32182934973,0.0,1200.0,10260.56166549692,27,6396.340820659353
2025-03-22,0.7,0.0,31024.31749295866,0.0,1200.0,10269.458007045623,27,6901.015181838817
2025-03-23,0.7,0.0,68335.2203899674,0.0,1200.0,10361.40203849463,31,6410.940883519658
2025-03-24,0.7,0.0,68027.55711695389,0.0,1200.0,10340.234077514324,29,6677.971705000034
2025-03-25,0.7,0.0,67516.56393039916,0.0,1200.0,10306.767205337801,29,6279.447395891525
2025-03-26,0.7,0.0,68259.82905131872,0.0,1200.0,10353.660446352327,33,6444.494190594167
2025-03-27,0.7,0.0,67647.47970530714,0.0,1200.0,10356.4760770953,33,6504.205813431114
2025-03-28,0.7,0.0,30209.172168589845,0.0,1200.0,10263.537011013357,29,6543.734004307768
2025-03-29,0.7,0.0,30352.00118035456,0.0,1200.0,10268.49989620919,29,6524.361753623003
2025-03-30,0.7,0.0,64265.60349841574,0.0,1200.0,10337.134740173255,30,6505.452172201718
2025-03-31,0.7,0.0,63574.08142695085,0.0,1200.0,10338.165802248435,28,6336.134133460033
2025-04-01,0.7,0.0,64358.5475993809,0.0,1200.0,10348.953599256132,29,6257.67877225629
2025-04-02,0.7,0.0,64914.37894114538,0.0,1200.0,10330.308306016166,45,6394.398072473563
2025-04-03,0.7,0.0,66585.40374115367,0.0,1200.0,10330.757319157854,44,6418.30606863956
2025-04-04,0.7,0.0,29783.940541136988,0.0,1200.0,10290.17559065729,27,6682.014488989655
2025-04-05,0.7,0.0,29979.21815704981,0.0,1200.0,10286.964804215047,27,6401.981215982065
2025-04-06,0.7,0.0,66410.95352963892,0.0,1200.0,10365.724536484951,42,6364.9435415165335
2025-04-07,0.7,0.0,65854.1500518769,0.0,1200.0,10394.764235478426,41,6510.395326880645
2025-04-08,0.7,0.0,65722.5695041373,0.0,1200.0,10455.463359631696,41,6081.114327232532
2025-04-09,0.7,0.0,64567.02502201335,0.0,1200.0,10438.231114021894,41,6258.5509837813715
2025-04-10,0.7,0.0,65751.57938019346,0.0,1200.0,10446.101387157247,33,6475.649814505956
2025-04-11,0.7,0.0,29183.61099050627,0.0,1200.0,10286.415140755782,28,6501.953834455139
2025-04-12,0.7,0.0,29526.07135604121,0.0,1200.0,10272.654842706956,30,6717.242857191644
2025-04-13,0.7,0.0,64984.92839902231,0.0,1200.0,10457.166293364626,33,6447.623819732204
2025-04-14,0.7,0.0,64568.85266376129,0.0,1200.0,10459.434743933514,34,6289.335377626287
2025-04-15,0.7,0.0,64593.187230076495,0.0,1200.0,10420.893312886823,38,6525.969869587698
