month,v1_total_cost_yuan,v6_total_cost_yuan,savings_yuan,v1_emergency_cost_yuan,v6_emergency_cost_yuan
2025-02,1257253.9268068515,1261746.5961600123,-4492.669353160774,67767.07065247782,51588.76562322661
2025-03,1234699.0168952479,1210964.8537646683,23734.163130579516,167471.3095078975,95279.26840194185
2025-04,1102386.612354747,1021606.2957398889,80780.31661485811,240801.17477430656,89361.41855588269
2025-05,1280829.7167859909,1079150.352314851,201679.36447113985,452778.5938069219,98676.36397217249
2025-06,1826096.2915578592,1496748.2187976365,329348.0727602227,759168.3872281938,167075.01672284782
2025-07,1964307.1624555406,1620032.3710842521,344274.7913712885,738445.6885862874,144379.82447261832
2025-08,1451962.988321962,1386275.8224152036,65687.16590675851,260245.43560974213,96408.31593872306
2025-09,1284127.8718307866,1243063.203398824,41064.66843196261,178574.15550952108,107770.33660569075
2025-10,1310531.8040795021,1199555.5803473382,110976.2237321639,264421.68352489785,83691.52356501663
2025-11,1458794.6594629579,1318985.0959622993,139809.5635006586,306081.7469528046,58481.866346710136
2025-12,1986606.5986143397,1750279.5235972437,236327.075017096,505906.7264264358,84935.15848100306
