date,days,purchase_kwh,emergency_kwh,actual_grid_kwh,planned_cost_yuan,emergency_cost_yuan,total_cost_yuan,charge_kwh,discharge_kwh,curtailment_kwh,emergency_intervals,emergency_days,emergency_while_charging_kwh,emergency_while_charging_intervals,waste_while_discharging_kwh,soc_start_kwh,soc_end_kwh,v1_total_cost_yuan,savings_vs_v1_yuan
2025-02-01,1,50108.69673477165,83.607655165256,50192.30438993691,25809.258708154528,301.1723454524388,26110.431053606968,23631.55463108702,16711.559251180483,8894.133076697037,6,1,30.18739760128244,2,2062.2221574959135,5999.999999999998,8700.0,23706.84576857229,-2403.5852850346782
2025-02-02,1,92642.0658755059,18.49930167839318,92660.5651771843,58501.80623006874,93.63575956157433,58595.441989630315,24833.333333333336,20115.0,9585.95389385096,3,1,0.0,0,2597.770802139001,8700.0,8700.0,56986.17523420444,-1609.2667554258733
2025-02-03,1,91386.15482736447,81.63328483517444,91467.78811219965,57555.12947903954,320.74244789999125,57875.87192693954,24597.05152747875,19923.611737257786,6577.43182197868,9,1,11.064681736468401,2,2140.959317076752,8700.0,8700.000000000002,57022.03013186021,-853.84179507933
2025-02-04,1,91138.6012547946,700.1765144776334,91838.77776927223,57288.996839558225,2827.7310245134954,60116.72786407172,24496.82128565874,19842.425241383582,5989.517774997078,22,1,210.3628939198623,6,1149.1600547914004,8700.000000000002,8700.0,59737.60230499087,-379.1255590808505
2025-02-05,1,90951.81537123266,229.19806014896926,91181.01343138162,57230.572642302606,849.4777463598774,58080.05038866249,24533.420379703446,19872.07050755979,5771.236575904642,12,1,111.89585672907992,4,1197.3480945007918,8700.0,8700.0,57811.79398107885,-268.2564075836344
2025-02-06,1,91224.01153942634,143.74650422590923,91367.75804365225,57511.35753679442,695.3117402546839,58206.669277049106,24547.137196517757,19883.181129179386,6432.744759647216,14,1,18.912605682481853,3,1839.6518754818394,8700.0,8700.000000000002,57191.00226320427,-1015.667013844839
2025-02-07,1,44642.62631250728,135.6111579423584,44778.23747044964,22996.38184259773,775.8834432332009,23772.26528583093,20564.200586515373,16657.002475077454,9065.35969234505,12,1,0.0,0,1400.8822138402486,8700.000000000002,8700.0,23374.25199861223,-398.0132872186987
2025-02-08,1,42785.66022939172,194.0548634085181,42979.71509280024,22050.086880588104,1061.055864321103,23111.142744909204,20534.645545597465,16633.062891933943,7500.9697224700485,15,1,60.45618402908133,4,2062.34558096772,8700.0,8700.000000000002,22955.86138277984,-155.28136212936442
2025-02-09,1,88011.2695294969,613.8019486241747,88625.07147812107,55249.10400300764,1833.481660416996,57082.58566342464,24522.542560126174,19863.259473702197,4410.372425030431,17,1,396.1039043152192,6,1294.180681318233,8700.000000000002,8700.0,57898.97594641733,816.3902829926956
2025-02-10,1,88162.82575376949,105.11591093823765,88267.94166470773,55348.99385018368,514.4449482285883,55863.438798412266,24620.42136874598,19942.541308684245,9263.424021312661,11,1,14.100118673509996,3,3691.7812429772157,8700.0,8700.0,55170.50318868593,-692.9356097263371
