month,v1_total_cost_yuan,v6_total_cost_yuan,savings_yuan,v1_emergency_cost_yuan,v6_emergency_cost_yuan
2025-02,1257253.9268068515,1260261.5302380193,-3007.6034311677795,67767.07065247782,51588.7656232266
2025-03,1234699.0168952479,1210896.4862559554,23802.53063929244,167471.3095078975,95321.22311857312
2025-04,1102386.612354747,1023053.5768318953,79333.03552285174,240801.17477430656,89540.26861819118
2025-05,1280829.7167859909,1073741.3592059496,207088.35758004128,452778.5938069219,98697.2173681425
2025-06,1826096.2915578592,1495833.3444221646,330262.94713569456,759168.3872281938,167602.3779304499
2025-07,1964307.1624555406,1618398.643101437,345908.5193541036,738445.6885862874,144421.16847424704
2025-08,1451962.988321962,1384280.173100787,67682.81522117509,260245.43560974213,96408.31593872304
2025-09,1284127.8718307866,1241697.0628605976,42430.808970188955,178574.15550952108,107780.80166581299
2025-10,1310531.8040795021,1197381.5708423469,113150.23323715525,264421.68352489785,83691.52356501663
2025-11,1458794.6594629579,1319926.1747938571,138868.48466910073,306081.7469528046,58528.80708154804
2025-12,1986606.5986143397,1750279.5235972437,236327.075017096,505906.7264264358,84935.15848100306
